,entname,icopy_num,icopy_numlabel
94,db5dc2121033c8c574039d2a438a6136,6,软件著作权登记次数多
95,3350c8aa37d6f424b71aec791c7676bd,1,软件著作权登记次数少
96,d043737100b862c9ba6f7cdcd75e9198,1,软件著作权登记次数少
97,28e3ae965e20e7ad76357270ba44654f,5,软件著作权登记次数中等
98,505222933a49951c0c4939feb2ee40f6,5,软件著作权登记次数中等
99,7fd39653a83783d02cd92f8fbc5022af,1,软件著作权登记次数少
100,72d40ba049cdd43f768ef388606d0e86,2,软件著作权登记次数少
101,8c4c9619d34b2e7bc318a0d576fbfa39,6,软件著作权登记次数多
102,edf355c192c915562d5bcc16655c0458,5,软件著作权登记次数中等
103,45737f66d4daf495ae8354c2bc4d79a6,5,软件著作权登记次数中等
104,0b873129790eff666720efbda343f434,2,软件著作权登记次数少
105,16df284dcd4557b2fc7d18f217ce7e26,5,软件著作权登记次数中等
106,80ed7e313e34a80969f9155dc118d952,5,软件著作权登记次数中等
107,900e2bb53dd4ddd46f4f053f1680836e,6,软件著作权登记次数多
108,dd4a7075f7a2ff9ea81ba739a99d73fd,5,软件著作权登记次数中等
109,27c29e1d76414e7e4ce375f5d51bfcad,1,软件著作权登记次数少
110,97333ac8b03dac1f267c6417586ae50c,5,软件著作权登记次数中等
111,f0827915db77c745d961b496f302df53,1,软件著作权登记次数少
112,46fcccfeacac5b9d9858c7b08fb4d585,5,软件著作权登记次数中等
113,38bd4bfccc2bf8e53239d37bb70374e8,2,软件著作权登记次数少
114,66c10b9c98f2d5e6b197902cbae9425a,5,软件著作权登记次数中等
115,e33c3748dc91f0d1288e3dce2b167f22,1,软件著作权登记次数少
116,39600ed50f4390530edacaad7ec18fcc,1,软件著作权登记次数少
117,88994c1b62534053e36218473a793bb9,1,软件著作权登记次数少
118,1b0fa9ea6b16452a20c970f605372b3f,1,软件著作权登记次数少
119,bd5b55e638db6db3357565f00fbb62ca,1,软件著作权登记次数少
120,dd458234c6df95a39a9776e8f57a894b,4,软件著作权登记次数中等
121,6f0929e6b06141b4c67b14fe324850f6,3,软件著作权登记次数中等
122,dad54bd08af2b1967272d1dc939da7ec,1,软件著作权登记次数少
123,b3cbc9e4da6294547e5151946fe5c345,5,软件著作权登记次数中等
124,0b5a1afd892d9df111a63e8d1fe8f5fd,7,软件著作权登记次数多
125,e490805cbdf8072cb6c38197fff92898,1,软件著作权登记次数少
126,bd38fa5387231255fa8b302e17aef60b,7,软件著作权登记次数多
127,72f76fe501662c461cee4d8c2d643393,4,软件著作权登记次数中等
128,0c07b88571236df495498b4a164c01a4,1,软件著作权登记次数少
129,7c31a233a3a66009b5b324df4084c170,2,软件著作权登记次数少
130,0e4658dd7b529ee1f7741a6492804088,7,软件著作权登记次数多
131,706181141d85debe88debfed8302d472,2,软件著作权登记次数少
132,0a17e9f37fdb36637c4eadc7ee223dac,1,软件著作权登记次数少
133,c05e97c9ec9a9f5510b1ba2df2d6ab74,1,软件著作权登记次数少
134,3230672e439c032b1274b7dd76fb611a,1,软件著作权登记次数少
135,b2b1777df0a1e9683323a40ab1bbac66,5,软件著作权登记次数中等
136,384185574d6a512a6e650bcf772a15af,1,软件著作权登记次数少
137,26f4b5deab23242426d3cf6090f23946,1,软件著作权登记次数少
138,1c44553e395082a689a207bd8aa35f7e,1,软件著作权登记次数少
139,ba5f93d79e45ca57356dc80de38e3b9f,1,软件著作权登记次数少
140,3f90528dcc6321bf66c1f15ccd1a735a,1,软件著作权登记次数少
141,7b24819a6a90724f6dd0df866cd585ec,2,软件著作权登记次数少
142,e74d76f3f50af8331eb8cc2174b7cee1,6,软件著作权登记次数多
143,67c077f7dc7b2c8a83459a47453e207a,1,软件著作权登记次数少
144,97c4c7184ee1255ba4b31d74e6d46542,2,软件著作权登记次数少
145,cd7b81772a2090190c4ad78c7cf0bd16,1,软件著作权登记次数少
146,542405df92e91666e5d21b416de29a9a,1,软件著作权登记次数少
147,6f6300b181b360370c7cf75ac8150831,1,软件著作权登记次数少
148,aafff39fce1af377111d9e2965d88e68,3,软件著作权登记次数中等
149,5cdae2eedef52c7bca99bf7607ba184d,4,软件著作权登记次数中等
150,688fbc5c75920c23c62bfa15cf68324f,5,软件著作权登记次数中等
151,70ba4ab67bafe7b2f007125f5a079eef,5,软件著作权登记次数中等
152,dd29755ae743c5419b7f501db2050d9a,4,软件著作权登记次数中等
153,e3c174fb6c218cccf96ef382e13cb3cc,5,软件著作权登记次数中等
154,cf4443bce25e0d4d4a61ec1aefd79a38,6,软件著作权登记次数多
155,45d1ea45698c30f6ba4b379911073b7a,2,软件著作权登记次数少
156,8bad7c2da73efbf5840500f812655658,1,软件著作权登记次数少
157,98d48ff866129c44663e9272fcb42714,7,软件著作权登记次数多
158,82a3327572c8e052aa2825b81ad49560,5,软件著作权登记次数中等
159,0e48a466d7f294ffe93c049cdcfec533,5,软件著作权登记次数中等
160,d9e8a3d8f64eaa08f05cd720fb950b91,4,软件著作权登记次数中等
161,e3b76ffa9c2fe5c8c46dfb050c4c3d39,2,软件著作权登记次数少
162,cbd9025525841501e1b6859963dc3e39,5,软件著作权登记次数中等
163,3d55783b0a870031e5ef074b79bfd183,7,软件著作权登记次数多
164,447156bf1695426bcc8485af8b992a4c,1,软件著作权登记次数少
165,ce0091a4bbd890b843f91ed672a3232d,5,软件著作权登记次数中等
166,8a20ab887787f44172020061bb32150e,4,软件著作权登记次数中等
167,47a6090e78ec9c9f423b3ec729d84cd3,1,软件著作权登记次数少
168,4e6f5716831c5a36f99aba5a6c1e3643,1,软件著作权登记次数少
169,26197972f75bec76a1fa706873a091cb,2,软件著作权登记次数少
170,b4a5ec2a1e7f2bb02eb4d5755f55c1da,1,软件著作权登记次数少
171,592689ea1c6d7a04029d225fc4dd35cb,1,软件著作权登记次数少
172,86fba6b15e4462ea3761f0e32792afad,2,软件著作权登记次数少
173,2fa068978dfc5270fcc8e7f2f3a55ef9,1,软件著作权登记次数少
174,aeed723a5f3b9c9c9d9648b6bcf254c0,2,软件著作权登记次数少
175,53eb4c1d92f28491e7c0e2cc5a069297,5,软件著作权登记次数中等
176,d0183abb7a7c50aec60f0f9539c49013,8,软件著作权登记次数多
177,3a2af938d22ca430ec0bea7974841e03,1,软件著作权登记次数少
178,316b2f07e179958545d7f0f1ed7f14fa,1,软件著作权登记次数少
179,73a8b7d1b5a34d4dad1d58bdf23001bc,2,软件著作权登记次数少
180,a1b389321c1d22bcf7806bc303ac2074,1,软件著作权登记次数少
181,a05b230ec6061c05531bcf9b1e584237,1,软件著作权登记次数少
182,25d7ecdcaaca2c787f9f06976f98623b,1,软件著作权登记次数少
183,9dbf2d711c76ee016147c3a9479eaf1d,5,软件著作权登记次数中等
184,d7c4fde29c74039b8decd59ae5af9165,2,软件著作权登记次数少
185,b3e127b41586e6ae7b3f13588dbde31d,2,软件著作权登记次数少
186,bd18535ffaab38401a98fc7cbf5d7c1f,2,软件著作权登记次数少
187,c3f3fd9ff958fa0d49e558445e276664,2,软件著作权登记次数少
188,0ee430224d82b70d1be5798bb3dc64e3,2,软件著作权登记次数少
189,6dc56c8dd418852fc97baa6c1b922501,5,软件著作权登记次数中等
190,8a3015068282df28856f5dec53582603,5,软件著作权登记次数中等
191,0868e1605dc192b0ccf0393d30467f16,5,软件著作权登记次数中等
192,f311a6e4240c673a2c7708faea7df681,1,软件著作权登记次数少
193,39437aabc2ce4b5b00eab55fe9a94062,5,软件著作权登记次数中等
194,7c9cd0b8f0644f0b65dbd047bb8515c5,5,软件著作权登记次数中等
195,14ff4af6cdf0dd5b0633ab2f1f202585,2,软件著作权登记次数少
196,53338c5380bacdac3862045e6eb948d6,4,软件著作权登记次数中等
197,0fd69d05e76e62bd7a08766a7dc6acb9,1,软件著作权登记次数少
198,9738944e2291bdc3b0da9b07adb6d172,1,软件著作权登记次数少
199,96e8263fe6f0866bc6b175e91df9d4b8,7,软件著作权登记次数多
200,4f40bcdde36becbd62a0f1295e8fbdd6,2,软件著作权登记次数少
201,b78b9c95eb28d32cbd7d24ccca885272,1,软件著作权登记次数少
202,755059f538f15cb4d523179dab2170fb,5,软件著作权登记次数中等
203,f4b0cfddb809a58eec71dffce58af1f5,1,软件著作权登记次数少
204,3072ba637ad494a46d5e3a9eaa4e538c,3,软件著作权登记次数中等
205,c0a87af6be22ca9d940b6f414962aa83,3,软件著作权登记次数中等
206,21fbce0fbf943bf086ffbcb87302c7ce,2,软件著作权登记次数少
207,cf3dabf84a76dfe64a155eb8720b4c10,1,软件著作权登记次数少
208,e944a2b2f30496a69c666ceb8a2aec96,5,软件著作权登记次数中等
209,114dd1cd5f15bbb9f7f49380fb05d490,1,软件著作权登记次数少
210,24782c8a742d0473a13875667c393ff8,1,软件著作权登记次数少
211,5d631861bac7cc434b7b57747db5d046,1,软件著作权登记次数少
212,620980e511f381476bf6308bddd4d76e,4,软件著作权登记次数中等
213,31c5437559512adbba3c658a899eb37f,1,软件著作权登记次数少
214,4983f776585ad8c336aa1c621a4df4b2,3,软件著作权登记次数中等
215,3448367a5328e6574325d33bedd00607,3,软件著作权登记次数中等
216,d861c335867e8ccfd0c85053aeb6d0bf,3,软件著作权登记次数中等
217,be34a31c9637aa3dc275f78dbf93ae07,2,软件著作权登记次数少
218,4506af42bd4202d64ca4853c7e5cc6d2,4,软件著作权登记次数中等
219,fd1c6d090dee6e71ada6806c4c17b48b,6,软件著作权登记次数多
220,119e2b3ccddad72c958a660aec78845d,4,软件著作权登记次数中等
221,113a20c146937957df276ce037cb1844,1,软件著作权登记次数少
222,2b94eeaea933bb786fffe8bc983bb73a,1,软件著作权登记次数少
223,eb1dfdf1eb6abffa7520fa5944f50bd3,5,软件著作权登记次数中等
224,35e474970c2a5ab4c2aa85f47f50a40d,6,软件著作权登记次数多
225,22870de2f5798e549697175eaba46ff9,1,软件著作权登记次数少
226,c17c2e62e078ab48445e97c27e64e544,1,软件著作权登记次数少
227,2018e5e80d5e5a65af8cddffa259fe63,5,软件著作权登记次数中等
