,priclasecam,entname,priclasecamlabel
88,100,5efb6e0284dbb4d4e0ec159998e5c283,债券数额小
89,80,5efb6e0284dbb4d4e0ec159998e5c283,债券数额小
90,100,5efb6e0284dbb4d4e0ec159998e5c283,债券数额小
91,12,590683827b9ea8a9d1768e531c1af2c5,债券数额小
92,150,d8d8b0275aa62947b446b47044a270f5,债券数额小
93,200,219b8b95161376d288337584b9bbad44,债券数额小
94,200,219b8b95161376d288337584b9bbad44,债券数额小
95,10,a02e736ed3d754ae613ae6517c9c2656,债券数额小
96,0,57a8df7bf5a2a24520db9c6e4a30e0cf,债券数额小
97,0,50b3f006190d1f37122571bbb4a74924,债券数额小
98,10,911826286dadbcb4aef20cf4f4337501,债券数额小
99,0,8c25fa2cf15344568adeaddc44080a20,债券数额小
100,0,8c25fa2cf15344568adeaddc44080a20,债券数额小
