,entname,punish,punishlabel
73,4f3855cd7472fccb2fa09761702a2054,1,处罚次数少
74,00b751dc3b694755c35e109fa69d5b61,1,处罚次数少
75,74e1513bc6b2081c807bd7f6568ecc35,1,处罚次数少
76,8d2fc2016ca4536ede6d26f0edc177ac,1,处罚次数少
77,77ef07e45ca2491fbf9744c805ec36e2,1,处罚次数少
78,152b280d2173276461d163bbc4700c77,1,处罚次数少
79,88c9347385ca7627cf5c57dcac25be69,1,处罚次数少
80,5f624bbf1d3fc1cc056984b40a944897,1,处罚次数少
81,839c0f0aee1c5261d462013f7110c579,1,处罚次数少
82,2e61c9c114d9b1546d7207d76f61ac13,1,处罚次数少
83,eb911e77b83004919e996f93821b0600,1,处罚次数少
84,dd1ed5f6e50e90b0258636d28ba28d40,1,处罚次数少
85,efab30d63ad0ab9c02f0521219519628,1,处罚次数少
86,e6ae065efbf0b9d33399516f14953783,1,处罚次数少
87,13cf0e8607b8cacb866ef250495c1f7c,1,处罚次数少
88,b63599f0fa39386ac250cea5f4c8c18e,1,处罚次数少
89,23474ba23d66b658af7b500cb9792307,1,处罚次数少
90,bc9020fe2a8225ca9c0c25206a84a059,1,处罚次数少
91,4d7e371807f5ace0ffc24a4a59b140e9,1,处罚次数少
92,578c19cfa88d91acf3284f4fd44e5b11,1,处罚次数少
93,bb790bce3123c457405d9aebec1f25de,1,处罚次数少
94,1de24ef59841725a9745dea30c39d8d9,1,处罚次数少
95,e3a985badd734b981a730bce3b795bd3,2,处罚次数少
96,92eaedda00a46ead144bf4cc233e35d8,1,处罚次数少
97,33e895a7f154a7870427935031988468,1,处罚次数少
98,680a970cb7adfe35e0606dc05f6df4e4,1,处罚次数少
99,944445ac9bb9ad8c1feaa248450820f7,1,处罚次数少
100,3571ee8e980880dde1dbcd6cb7cb9c29,1,处罚次数少
101,1e0140395c73baef95ff58e10aada240,2,处罚次数少
102,7e9340a711397baf545b628dc295e34e,1,处罚次数少
103,4e2d22c95bd31fa0c79aa471bcee0f8d,1,处罚次数少
104,6ea119061a018acd8f77d0d245a6c973,1,处罚次数少
105,1d20a82a7a5dd0fdb4f8b808d911359f,1,处罚次数少
106,9a5efb9c41ac8b2cc2c9b4dbec0e680d,1,处罚次数少
107,a58555587af2ad2a94b296d5f93126b0,1,处罚次数少
108,5a30e65a0f8b27f3a1f61cae268ca43f,1,处罚次数少
109,58be358984e20ccccd2f6e0c8cdb73c9,1,处罚次数少
110,e2dd9494782144417bf06c7ac5d2c04c,1,处罚次数少
111,dfb670d2f5a41a0086dfd11390f5ddfe,1,处罚次数少
112,cc57b33375ab86641806dad878ecc511,1,处罚次数少
113,b3d9ff3a78ff577705c247ca8e142a59,1,处罚次数少
114,b6eaf6cbaeb93d0535de4e0df30068bb,1,处罚次数少
115,24eab27990ccfd827906cfc49d684515,1,处罚次数少
116,bf7137bcf82878bd3a96a784177fb0ac,1,处罚次数少
117,2f68da7a38e72d6e2519c81baf1c655b,1,处罚次数少
118,d94038036a2674792817d299664a887d,1,处罚次数少
119,9840183e5f726161ea28fc4ff1314962,1,处罚次数少
120,5e0c92b763d381ad19e165a6d85ab047,1,处罚次数少
121,8a6f34fc06e3d1d4bda0b914c69d1e4d,1,处罚次数少
122,8fdbacd1c83094315cb2edf7039f31cc,1,处罚次数少
123,7befbfe152c6c2c3351cc322de11b2df,1,处罚次数少
124,435629c5f56a2b0415c525b2dc64d0ce,1,处罚次数少
125,927113d73d16c9eae86309c741f1ec6f,1,处罚次数少
126,1cccddc13df6371ed4df397c4c9efaf8,1,处罚次数少
127,1c7191c85c55963366655d801febcac8,1,处罚次数少
128,61a9efafb28fc0a4af13146a59b42644,2,处罚次数少
129,b1face299b7c877e135a61366ffae7dc,1,处罚次数少
130,57a2c1b9c2536e98139d14f743e9d098,1,处罚次数少
131,23d3d1318595bef53a5c4d0e4fd90a5d,1,处罚次数少
132,cd37f94ff6827c919ca73b88df8941dc,1,处罚次数少
133,566cfa32aabb251115de779b99f037ec,1,处罚次数少
134,7d8bf4ca237594dc1d2a5afab72ca825,1,处罚次数少
135,11c9aa44b4d72e4529f2e16b701e39a4,1,处罚次数少
136,023a3ade0586ea023246d517b39a0fd7,1,处罚次数少
137,38070da273eb8c0c6291fb52ec2d0a73,1,处罚次数少
138,2ba3c2c7dcc24f6de84fdf03c9547138,3,处罚次数少
139,41e8c7c539b42a8ff4d0abad112a2eff,1,处罚次数少
140,57cecd0726597ea9a5d7440f198a658b,1,处罚次数少
141,ff2a8c40060f79900fcbda34d1c3b2bf,1,处罚次数少
142,02443fab13303320ee2d6b5561b123ae,1,处罚次数少
143,10b5e8df031ac861f11721a3e6af44d9,2,处罚次数少
144,73706f3b5004b04881b68955dcf88d48,1,处罚次数少
145,9a5fe7f7f1552d569b5159c6eca8bc25,1,处罚次数少
146,84344b238c5ee6cda2f58a19530ddcf0,2,处罚次数少
147,e5d9bd632566f4c8d46bf6265482906f,1,处罚次数少
148,1f9f98d0460032edca58ea90616495ee,5,处罚次数多
149,24de32cd7a588b00d3311575f9ba5b1a,1,处罚次数少
150,6349c39a959f4dc1529b995cc60d861c,1,处罚次数少
151,9808f6fa9ab4bbdcb5b65e8fa87d9607,1,处罚次数少
152,62d44bc4c8a45e23624a221cf1b21942,1,处罚次数少
153,90e6eee539b743ee2b3d4646854a10f1,1,处罚次数少
154,7ce4ece7eea9c6cff605deee87b2127c,1,处罚次数少
155,b6d90f2dbf3d9c14e59b2989dc998f66,2,处罚次数少
156,11f545d3b1abccd26227ca2f7c7c6a31,1,处罚次数少
157,e2681322134388425a17a4fa099cb6a6,1,处罚次数少
158,84c22073fdb1733237f2a4568acc66d5,1,处罚次数少
159,ee68488fd880515398e9f621dc0b11ce,1,处罚次数少
160,bd0a58f0f1bdb1ad96c68208e1319bbb,1,处罚次数少
161,9dfa2fbcc0c79bd666658eebc789a3a0,1,处罚次数少
162,cede7f63559123b9e4dd266821bd32eb,1,处罚次数少
163,d3a6aacbfa2c7f3eb8e4492f02f3e558,1,处罚次数少
164,181b8dbabfc5ef3323feb1c86debb466,1,处罚次数少
165,78bc6962800ea72774a77b5c2b8bb38b,1,处罚次数少
166,63345f57cd6d660972ee6f27a9aa1864,1,处罚次数少
167,3b34b73ee587dd34b6d4a17fa4eaa7ab,1,处罚次数少
168,243cf61558c56b00c306252e8b0df750,1,处罚次数少
169,2bfe71f418d9a07403081a4bd426c86a,1,处罚次数少
170,363dda598e533f93ab7a0c5d0314a6aa,1,处罚次数少
171,b0c0290eb446c5dbcbee0560b0f52c6d,1,处罚次数少
172,d33c0bc5833e734957fb43d044f676ad,1,处罚次数少
173,a74fc687b764cd11660eaaca3170914b,1,处罚次数少
174,964120cf725a8da3c8f09ec53b0ba60b,1,处罚次数少
175,46948540a485c206c13d63595977d9c6,1,处罚次数少
176,818e58e7ae48e26857663cef681c4275,1,处罚次数少
177,81273e3bdb2691e559495769df02e7cd,1,处罚次数少
178,05bf553a5c72baddebecd9248658a6d9,1,处罚次数少
179,9a51ac6629d87360f51b2af6170b8f3e,1,处罚次数少
180,446b5fa6d4222d666b5b99c4a7108807,1,处罚次数少
181,1285957e7c400cdf27c02d9ebf059fa0,1,处罚次数少
182,1c2e19e1d07594ab64fcebe8d7ff87c0,1,处罚次数少
183,22fce5a1be7704ad59dac58b5d681c79,1,处罚次数少
184,ad48be6d116753cb71d51f2412022dbc,1,处罚次数少
185,c22129c9130dab36ac3d3a050aaf0160,1,处罚次数少
186,89e228d649b55b6a61c47c6c93d06e63,1,处罚次数少
187,c083f2f1890d79ce2abe52f52296f326,1,处罚次数少
188,5f745df11bea44f7edd8796f0147882b,1,处罚次数少
189,7efc02da2ac7ffeebd63b3b9f7a9883e,1,处罚次数少
190,d38a5c5f039e4ff26f4309548b7c231e,1,处罚次数少
191,614ab728263a963b0d9e43d3f5090881,1,处罚次数少
192,2b9fe0ad7693b45c954f43533f4258ea,2,处罚次数少
193,45296fabbbb8f117d1354b7708618b2d,1,处罚次数少
194,6f6e1581c0fa7afa390c08ae9bfcb69b,1,处罚次数少
195,f889db1d5227c057e2237e019a6f60ee,1,处罚次数少
196,74088c365998d19cf0711460dfb341ca,1,处罚次数少
197,19072582769b00cde97e51aa1793ce5c,1,处罚次数少
198,9268924666280d9c8fb21fa4a504c031,1,处罚次数少
199,4b0e503c78f734fb9d2613c9e2f7467b,2,处罚次数少
200,a69b83d87b4ffc9428b9c2e1b7c5cc7d,1,处罚次数少
201,2be43cd68a3d56472efcde2382574e65,1,处罚次数少
202,2bdc6fa8a83d57ac925a606fe77bc35f,1,处罚次数少
203,47fe24490a7a78641aea1f333143ed30,2,处罚次数少
204,e3e33849eb94ac6a2e96499c07e5dc8b,1,处罚次数少
205,b70ca0c09b52c55ceb1b80b9bddbc669,1,处罚次数少
206,ecbeae0b8ea48ab7c4bc13f1796770f9,1,处罚次数少
207,b29501ca0a57465182d95d7d0ac7214a,1,处罚次数少
208,a7b11ff008faae3aba182cc7ba43cc3e,1,处罚次数少
209,3614d7fd15b37a891df9125a7442a53c,2,处罚次数少
210,c074cc95cd82e25854958761124c7a61,1,处罚次数少
211,eeeed9f4406f6e7faa3c9c85ad7a6efd,1,处罚次数少
212,35c95d99a8c570df63292fc08567d69b,1,处罚次数少
213,051c68e67f36046e12a588a4542a6d01,1,处罚次数少
214,f16d7e4ee032762fdf177c4fa4850b6e,1,处罚次数少
215,2f41d30c2e2b6987237ee214fde27fd8,1,处罚次数少
216,bec131b09eb92f049d15cc5963226c01,1,处罚次数少
217,7726894dd976371df51b48c5a5ed2ff6,1,处罚次数少
218,e474988782e440b5eb1c973ccd3fb8c3,1,处罚次数少
219,65a2fb0e4b855722b0336fc9e1bec536,1,处罚次数少
220,f1d589e59771f8ea38a9d0edc30c2d5e,2,处罚次数少
221,766fa4eb96bcd5179291cb1f00cd1abd,1,处罚次数少
222,d9d459a459ad4556e6cc18d45a07b936,1,处罚次数少
223,66ba3929084c8b867305b5121b371b22,1,处罚次数少
224,76e689972c4636955962e173aea7fcf1,1,处罚次数少
225,7fc400d5c66bfb9f31ee11a0faa323af,1,处罚次数少
226,a9711fe8b946b23e035939609d36cabd,1,处罚次数少
227,dcede9323d70ca0a2c267a4e0601d55b,1,处罚次数少
228,ee531a22a3900b1e314f13cba9eef943,1,处罚次数少
229,980aa017ad23e1fbe1c13a5403e9ffda,1,处罚次数少
230,d623300e14beb100cebebd93f40aa14d,1,处罚次数少
231,639f1363b77f61ea6ae5c64798bfd69e,1,处罚次数少
232,032088567d30d4c67e8832fe939c91c3,1,处罚次数少
233,82b0496320ee97c23f738f6f54404f7e,1,处罚次数少
234,50809634418f65834383ca66ae76511b,1,处罚次数少
235,7aea05cb4f202f043deb0e2c16461ec5,1,处罚次数少
236,1da8b9ac0884192bd13d90daab892262,1,处罚次数少
237,6afe02445982f1796326f7ca73221d9c,1,处罚次数少
238,0e8f16163f976a8c90c245747bf81613,1,处罚次数少
239,16d718264bc5d040f51fc42bd72ffb77,1,处罚次数少
240,fdc52b98953e5a52a9f956ab308e5c39,1,处罚次数少
241,fb3ad8d8b16c7d61a60845979aea78f2,1,处罚次数少
242,8ebdfccafe0a5d8b3a6590d9f0047bf7,1,处罚次数少
243,45ea52e13df20cdc2f8d8870b1bc27aa,2,处罚次数少
244,dfd288f0745725bf0573c6ffa981fbe4,1,处罚次数少
245,00fe5ff0f52f92a6be73d8d69501764a,1,处罚次数少
246,1e30cf31d46db1316a2d0c42a7fe3420,1,处罚次数少
247,3368a11ad46c12baa9fbda1f0ab7ca60,1,处罚次数少
248,6665d9e9d24553cc4e80b1aa86ecdd16,1,处罚次数少
249,1f0898913c48ccf5cd7416b4ab5afd0b,1,处罚次数少
250,1ca4f59d920ce15841dfca1a7a611a8e,1,处罚次数少
251,a5fe2960d24fbdb15b7cb8bda2168e62,10,处罚次数多
252,b73b6c3f6e6a7a28e55e1d87272f05e4,2,处罚次数少
253,8eff643803d686733e352c25c6657e6b,1,处罚次数少
254,816e751f2005834b3b351c22cb3ca72b,1,处罚次数少
255,d0d0c9501ff7386672cc2569f0f6edd6,1,处罚次数少
256,1fad420539cc2a289a68ac3b7ddaeb3f,1,处罚次数少
257,117cf8be0975172a9355eb58317c35ef,1,处罚次数少
258,f80fb0bfbb656b800ea47a84a7b3d209,1,处罚次数少
259,c2f9bb32ca0592abc6018db2a0012512,1,处罚次数少
260,23fd6cdb6fc748ea6e51646f84360f88,1,处罚次数少
261,c9ef79802e8f9149a992349c78550f31,1,处罚次数少
262,d7c4c2e2d71cd5ee6d02b8e1f7863cfd,1,处罚次数少
263,0f74930ba96ecab0923e218410751cfd,1,处罚次数少
264,5304ea855572d71e4e05634233a0eeaa,1,处罚次数少
265,7a91b36acf1be124e83e69e54d31bcb9,5,处罚次数多
266,0d76d9e04920b230d396dd4d996bb336,1,处罚次数少
267,3bfb091b9b2990652c28545c6d82feca,1,处罚次数少
268,1d7d765715b07ab6e67b889b2e29f6ae,1,处罚次数少
269,796ae50f1bf20adb53a1a1d09d86eb6b,1,处罚次数少
270,284295aad0fed84b3a2733911a88355c,1,处罚次数少
271,4152e2aaf0d8f635f65bc6258a6f3661,1,处罚次数少
272,2cffb4162b3dffb531b33ec94027d5c0,1,处罚次数少
273,a5240171eeb94900c3ccb89721229378,1,处罚次数少
274,2a48979f2410351c41559f9cadb3b960,1,处罚次数少
275,c86e7c89ff150bc3590cba4003e70bd9,1,处罚次数少
276,89a67aeec904ee79f7a08f4541a1e2a5,2,处罚次数少
277,93e3496e2d7b4835d75d5fc8f2d51fe2,2,处罚次数少
278,f85334b4944fd16650ad479753398c80,1,处罚次数少
279,b26e872450483f0115ed467d7f391302,1,处罚次数少
280,8957e08873a5953903f7d3f67825325c,1,处罚次数少
281,ea379982beacbba9f768b41bb2f61416,1,处罚次数少
282,4f483cf69ea3471c4f1fc3dc29faa5bf,1,处罚次数少
283,bae7e42b93e0f1bb3120d5734f2db4d2,1,处罚次数少
284,9dc186a6befeec7afe6990d407b238f9,1,处罚次数少
285,7d15c04667737bf67a4c60f157ac9ce1,1,处罚次数少
286,0b70963a8298fe606038425839e79b59,1,处罚次数少
287,6927669db8771fcc639edffca7432748,1,处罚次数少
288,adc7b77f4139118100d60329aaff8c67,1,处罚次数少
289,07b6659504abfd5a6aa2df6f6a8b56c9,1,处罚次数少
290,2b06012af4295641e46044648e18bb9a,1,处罚次数少
291,d2067406b11d9c92e93a3edf9fcab23a,1,处罚次数少
292,47bb977089b890d49aa3df8a827f688d,1,处罚次数少
293,add37e41f7bf89c216f055ded79410b1,1,处罚次数少
294,daac7b2f4d8dfaf5c0a80497f69ade3c,1,处罚次数少
295,0f4176937f4e431bfb2635ddf7ac2d9b,1,处罚次数少
296,a79b14b149b54d412b55fddd0616cb63,1,处罚次数少
297,56967785d495cdb83666c3139bb4028f,1,处罚次数少
298,a0830aa694576d878af6f047e7d019da,1,处罚次数少
299,715fbb544543404033fd80c3a717193c,1,处罚次数少
300,1b67270815bafd65c89d1cf3ae569974,1,处罚次数少
301,bf8b571f46a43ccec84970ef3cb9a2b2,1,处罚次数少
302,b5cd66506692b0e8f02f3bfb5a33f26e,1,处罚次数少
303,f150bdfd219b279b983a3862051b2835,1,处罚次数少
304,c36f2c0cd87c1ee56d7bcea073715d92,1,处罚次数少
305,8ec250cc05e48244c9f5e00ba743d425,2,处罚次数少
306,1a19da1b846c2708aa42749cc34d0192,2,处罚次数少
307,f361de673baa4220a22f9a923fc1b69c,1,处罚次数少
308,117f2111b7e89a2c5c18e2acdce2da01,1,处罚次数少
309,805f4047be5606bba8924b8293131032,1,处罚次数少
310,de487ad877f28e68dece2b0ef992d22c,1,处罚次数少
311,87f7650ec23dc5be3b4b522210671489,1,处罚次数少
312,212b97bf683d03eea765dd5dc3083508,2,处罚次数少
313,85c3e81a34c2ed1f606794f56157eb30,1,处罚次数少
314,443aab98fae581b9eb5227eaab82dd0a,1,处罚次数少
315,9f2b3a87af73b744c08e28a63de3d98f,1,处罚次数少
316,7105169d12c2511420e2cc76864ec67e,1,处罚次数少
317,88c979bc8ba35ff7dda70e6ddc0c9e32,1,处罚次数少
318,7a45cdeb30d784f2c07a92431386267c,1,处罚次数少
319,920f1b54a11335c4dd7d7fd4a4460cfa,1,处罚次数少
320,9a9fe89d6239c418a5269e7f6559ef99,1,处罚次数少
321,9283a7aeb5ef8f52e19f73d1a64efc69,1,处罚次数少
322,009b3f2dbf037cc20325da7d93f34950,3,处罚次数少
323,bca408a915a9dc3e36d5ab000046d6b7,2,处罚次数少
324,4a276fedac545cf6e73477ae6aa3ac21,1,处罚次数少
325,1d0fcddda61505504199f05a0db0a688,1,处罚次数少
326,af02e5f8cee255bcfb71389c9dc10eea,1,处罚次数少
327,87c0ecc59930698a1d5dfc10ab8da637,1,处罚次数少
328,99eb9047e29b9cecbbac0b4a920ca442,1,处罚次数少
329,34234862a8a5a3fddcfa6c13068d7017,1,处罚次数少
330,428b36bb2e363303b6aaeeae2731423c,1,处罚次数少
331,f353fb92692bd89a96a6688717007ffc,1,处罚次数少
332,35cc454babf715cd31fbff2961eaad9b,1,处罚次数少
333,d805f817abe6b2479875e7fdfe3eb1e1,2,处罚次数少
334,3b693db20b49641e13e93eb96446f9c9,1,处罚次数少
335,c9ff3a5f74fa222833b173c195e5b516,1,处罚次数少
336,a6c93cc5fe278ffb013320f216262353,1,处罚次数少
337,f6fa99a7a0bd5d3ed860f9295e0c57aa,1,处罚次数少
338,439dc7fd74b3a3dee41ccbad10cdbbf0,1,处罚次数少
339,01c488f2287142f2233881ba329d1458,1,处罚次数少
340,781e00c3dd6234070666024ac83c6110,1,处罚次数少
341,fc2697d235f6246d765156f9ab96cfd3,2,处罚次数少
342,a3a0a0897dd9238664bd9632974f1210,2,处罚次数少
343,cbbf3e955dd86e9452aba1892b227833,1,处罚次数少
344,3809cfc987ceefdb56f4e930b35f905c,1,处罚次数少
345,c9c244777cf4ac149c2f22b8eea461bb,1,处罚次数少
346,27c9ae8492618aa22440bec042d94fa8,1,处罚次数少
347,1013fd15204a82a0640663a91a0179e9,1,处罚次数少
348,f24512a44c22d8e94f9e17f82b1ab5a6,2,处罚次数少
349,508a1b09b114cbe366bd5a378b17cba1,1,处罚次数少
350,bdeaa09014049473eb52d621f3ed3cfe,1,处罚次数少
351,3aa1ef739c422f86d111fd1c4a78e4bf,1,处罚次数少
352,5b5364412736bf10f8bd809f4eab0cd1,1,处罚次数少
353,92f03c5a808d13b6c4888597943ade69,1,处罚次数少
354,af34836fc4644aa9edabcc48203321eb,1,处罚次数少
355,84598964b278b177ac44e10e231e0283,1,处罚次数少
356,6251bc46c68e59b68fe9de417b467cb2,2,处罚次数少
357,aa251a402506d31196b7203a06f5751e,1,处罚次数少
358,fbea9e8b811c7b91771cf069a8d72d13,1,处罚次数少
359,75121e3a9c11af668e7602b76f208818,1,处罚次数少
360,4d9f0ad0c123396a85ce325b644b5012,1,处罚次数少
361,22794c5d26b5e41778619e83bbbab30a,1,处罚次数少
362,eb9fbd8506b3b9afd965e2c71c542aad,1,处罚次数少
363,21bede1f76410e49a015b9a9a715fd34,1,处罚次数少
364,4c50a33e5c951a9360d971296e871133,1,处罚次数少
365,9f465edbaeeeb53b780e8cdc44dc84f3,2,处罚次数少
366,0a76ff969cf21b639d42215f0f4d0193,1,处罚次数少
367,c6ed3919e19fc407f8660024b2da82b3,1,处罚次数少
368,89985e29422c3ddc98038825fabc4966,2,处罚次数少
369,d3314089466873e5933291ce70b43147,1,处罚次数少
370,b2c454c51e6b797947230a45a912fbad,2,处罚次数少
371,0ddebd96b51c9a2a9a53e4e5ab7bf0c4,1,处罚次数少
372,6b9461c6db2c9f66d945363097af4b5d,1,处罚次数少
373,77a1fba179fc9c90b11b2087bd2863bd,1,处罚次数少
374,0d3e1e071560a2d09758b70bf4bc5210,1,处罚次数少
375,041254aaf67cedf8a2f7e05e9407e6c4,1,处罚次数少
376,0f292a64bd7ffad53aad89f2a64816e9,1,处罚次数少
377,090146e0eee4c0ac1702dcaffa4e5de1,2,处罚次数少
378,35c1c5ca3443cf6332d014115841aaf8,1,处罚次数少
379,e3c66d3c4e1596d878e0129b6db4a355,1,处罚次数少
380,05060c759bddf24e6971a86f719a8d0a,3,处罚次数少
381,fa8d134c8946a36f82cd8a2b57cda8f6,1,处罚次数少
382,429027f30fabfdb8c0edcb410459d87c,1,处罚次数少
383,e29858ae6e2e93b40f57bc8f92f511f4,1,处罚次数少
384,da1d44c07e31c0e6879cd7565770a4f1,1,处罚次数少
385,46e6c6a182d4315ffe344240b4a9a31c,2,处罚次数少
386,bd6692da9e46a24674868893af1e6c6c,1,处罚次数少
387,63ec760a565fde2899b551fa32a86b60,3,处罚次数少
388,d9589c7fa72badb00ae1d3f655dfe78a,2,处罚次数少
389,2f54afd83eb314d16733262da57e0c36,1,处罚次数少
390,97718a282eea1b842440f8a32d291bc8,1,处罚次数少
391,634909892767ad24e0d378703f45282b,1,处罚次数少
392,850697efd2f8b7463cadc55f7ba51a53,1,处罚次数少
393,fc69e5c9d01a0cf84276384f6a4c26f1,1,处罚次数少
394,613a3c11ae229b59c16de19c2588671e,1,处罚次数少
395,eb31c67f5efcf999ec93d99829916a9c,1,处罚次数少
396,0eda902906302bd2e0d984ca83e52623,1,处罚次数少
397,6f3ec95008dc483444d96efc7b10460c,1,处罚次数少
398,9dfef3d19907bcaa9fe564149318be08,1,处罚次数少
399,11f6b0be04dadd2a6b9aa5efe37f1f22,1,处罚次数少
400,883359302bdbe378861396047b2d6afd,1,处罚次数少
401,b36293a9c8d8c6bb4ccb9e1563c0be9b,5,处罚次数多
402,0f1b52207d5ef5b5ae6228539616992c,1,处罚次数少
403,f9590ae4f2548bda364e290781d72752,1,处罚次数少
404,bf9485b296b8a6d601a35975cd969a1d,1,处罚次数少
405,15214db3543d39e0f8b59372936e30b0,1,处罚次数少
406,749b066735ced51568cbadd058be1b3f,2,处罚次数少
407,e7d6d92c0ebb953ccc5b943b57bb3730,1,处罚次数少
408,951d270cbef659f33bc8db49df495cb1,1,处罚次数少
409,2f85be7de668a8b612b8c6b496aab361,1,处罚次数少
410,32c43aa02753b4f63a4189081788ac59,1,处罚次数少
411,72efbca6dd8e32fbf73ffddf9d548ee2,1,处罚次数少
412,34559d0da875d0b9138a8ec48cbfa57e,1,处罚次数少
413,029e01c7f8a3f86533114e9ea192e03e,1,处罚次数少
414,993b398891ea0c0d2a6f1ac2a3b75f16,1,处罚次数少
415,2362d3e2f42c5f3e8c4a4f8d45938c59,1,处罚次数少
416,8f487ee9e42bdd35cc7ddb5b9087888a,1,处罚次数少
417,7e8a81f586c5a0afe646f4acb6484a09,1,处罚次数少
418,6ef4623e8fba15415634fa02f7395562,1,处罚次数少
419,5cd6023d4b75ba7a5cf252dd61711a03,1,处罚次数少
420,f4c77bb1696a2ec108b2606b755b3516,1,处罚次数少
421,b12a3da034d4433d0f4600c1054579e7,1,处罚次数少
