,entname,taxunpaidnum,taxunpaidnumlabel
171,8c526309c881c0645d308855bac2322e,5384.26,欠税额低
172,760d18fbce49fb43f13cd453d65b9b37,4851.93,欠税额低
173,15d2a2dbdad940959494e08f3cc5a57c,2324.78,欠税额低
174,b12325794a1693335170efaed539c4f5,72.67,欠税额低
175,a34d2d3f932f51abe93f1764273b0316,413424.65,欠税额中等
176,466aececb6bce74f891ab00eab8936c2,750,欠税额低
177,a86c6436f11cac561fe72ed442ffeada,17936.65,欠税额低
178,c88bab628e5c9c1eff11f1f083da299c,143500.39,欠税额低
179,73af0c597aa4db4f870a3d8856d3d945,4711.28,欠税额低
180,e3cced6b2fa4417fe3f62f7242dfa00c,34456.47,欠税额低
181,77648c9618325a84d0f7c7874b94eb28,13259765.86,欠税额极高
182,398942643f7466e3a7206a2e98d5e577,9768.96,欠税额低
183,3f464b0a093586f5326531fa4cc5a3f7,18888.93,欠税额低
184,3135effd433c7a67a7d0c29ee06ab75a,460614.45,欠税额中等
185,c274fc2438724b20b9973516443659e1,768.93,欠税额低
186,f7ed0786742b139a3c3111d2eeb92610,4730.09,欠税额低
187,213bf1e8e1f17612663b2de8dbf19e16,15926.4,欠税额低
188,0a9dfeea42b5e27e7b9db3b1159850df,415.87,欠税额低
189,1bab1f7ca401b63cde3914e8a3a84f3c,7.36,欠税额低
190,787a71ad40b900682836b47aeb9b4de2,16104.26,欠税额低
191,0f2dc5057fac25f5bfdfd5c3bb6f0544,5195.54,欠税额低
192,988244f9c80e60b0ce706fe4bef1af3f,47620.92,欠税额低
193,c5baba9054b8bb1e6a4c3f06e9c043e1,990.29,欠税额低
194,245431c614acbdebf867544d15dddd1d,239075.81,欠税额中等
195,4609646ad89a8272067b03d7187dc7e2,1075,欠税额低
196,b1d2792231340fac0df0ad89340dc0a4,40061.17,欠税额低
197,1e78e147c02d6cf9f676b6e50cd5c48d,1201955.58,欠税额高
198,c33d656f68f3d5e85649c71c8be3c637,300,欠税额低
199,d24d79a3de9c91cc673f2c4f3c029666,179.59,欠税额低
200,c6870ea53e33f9ec1ac4707db1b59a40,1089097.17,欠税额高
201,bdc421e49b84237271eb9d5fb0f4f46c,601,欠税额低
202,c94912ae70a22c1d4f4848e708a26be9,480996.73,欠税额中等
203,157560d76043e50494d580c1d120e886,4782.96,欠税额低
204,d1b87bc4df61feb4bfb04e9415b875dd,286,欠税额低
205,6acedf75984cd459c50fcc62cf2a3a53,634.4,欠税额低
206,9b7ac000f11967f258a61961b05e6ef3,779192.71,欠税额高
207,da88ac376910cf782bd65bfa6a8d2593,814287.28,欠税额高
208,12e4539267ac7e1b1f6a2b206f74eb2f,3.49,欠税额低
209,a9240de46ca3a97adb3ff6e3471cc370,4287.62,欠税额低
210,aadb4389d0a1ea95cb056b39ea124407,26616.54,欠税额低
211,d625f3a1c70636b9186113e755cf9129,476319.62,欠税额中等
212,6934ed258d4ac625c9bac14638d52724,165188.82,欠税额中等
213,bb3915e4b0592a963956f465262561d2,2580,欠税额低
214,0e4e1fe61b9b2f6a0ed992720648378b,6306.77,欠税额低
215,80920842c8b7e2d3e69f730815b00a59,1075,欠税额低
216,ddf0fb51d80b096b2d415d65c134b9b7,2247.92,欠税额低
217,8a9354f5e400c30975fd98242ae1b06d,1849.49,欠税额低
218,1bd889bedf55f3024adc5634bbd09f92,68472.16,欠税额低
219,1df0091a6f709ec1002bc7333126afd6,238877.29,欠税额中等
220,12ef0632abb2a323c2abb304a01fe5ea,150,欠税额低
221,a2bb141a8ddf7a25b1b62074886cc1a6,53.88,欠税额低
222,739077771ccc92734fed8111d97e9d7a,108087.13,欠税额低
223,52756819fe4231b63a7c2c7bef314df2,3683.44,欠税额低
224,f31d8e9f68b9b0f33dd2b1472a711bd3,187.91,欠税额低
225,e1d4be86e4bc5098d276e7a1a7be6463,23550.32,欠税额低
226,33e0dfe447d8dc65020bb9839ae71330,11794.15,欠税额低
227,c02b0f7702fa006b5039ed603ae1303f,1697.45,欠税额低
228,e89fcdefc29613cdd6488b1a39e4ab57,303931.04,欠税额中等
229,0c83e226128061a0b6f1312ca9111374,3804.96,欠税额低
230,8bca18d0e7e5229e682487cb57aa40e6,1167.23,欠税额低
231,fdb6bc6601dd6555c3f0b9d8fb3acd2f,405591.2,欠税额中等
232,bd89e1aa56792060cdf1aac078749418,808310.65,欠税额高
233,02cf124d99d09ffb60f7b55ebbf357c9,100,欠税额低
234,f36c3ed44b4e08af59204425f311355e,65437.29,欠税额低
235,b4f915bc0d95fbbfa2a27b27d6ba319c,621.34,欠税额低
236,b3bd30c217570539b4dfb1fd60235973,13009.27,欠税额低
237,30f165cf663903c277a9753e02f73ae5,14529.9,欠税额低
238,5b0e9dfd42e54b2b7d77d490c255ee04,19057.03,欠税额低
239,77382b0d685810c63d98972af09347cc,737359.32,欠税额高
240,0ba36e01fa46b4f4e327da0c6b85c256,786906.6,欠税额高
241,a51b261ed86839e54b00c73187ad6033,285302.13,欠税额中等
242,2f5ac37030f708c3e2aa6480b0afb737,157252.04,欠税额中等
243,325b54790db31bdd7fee857b197eaa50,10985,欠税额低
244,e98470f8d1589aaab4e88f5abac89a2f,33994.47,欠税额低
245,d9a7123d23b707ffc60ab697c3f49e7b,740673.03,欠税额高
246,8a6c7cf47ba7ffb42827c09ace079d4c,229916.86,欠税额中等
247,45de4eb499df14c87d0365d3d0762f7c,8850,欠税额低
248,9473c06f55ee93e67248fce7d492520c,21794.87,欠税额低
249,72f20970385af7f6fcbe92268325f99d,800788.83,欠税额高
250,e8c477fdbc416dc929dfd2642189d9ef,155127.32,欠税额中等
251,b41323c2ad7309d9bf585258944e2324,500,欠税额低
252,3734aec096637f40f5b70e72ec4405e6,126.51,欠税额低
253,beb5036548133ca208a57bd3d2ee228e,45191.39,欠税额低
254,95e02bd60e81f8ebf45818b341aa4079,3352.56,欠税额低
255,efdaba07676968ebb36438f8f52c0b75,1064.09,欠税额低
256,bdf09f01725be1c1600774f5b430fa00,13545.03,欠税额低
257,141fcd5f27da714b19907f8fb00fa1e8,795.88,欠税额低
258,bbd31a0e223b59cef557d6c1be06be6a,122.35,欠税额低
259,377f728ab6cae6ef478b5aaa69a4cf7d,16978.43,欠税额低
260,411cc3070cb4819752f80cab823b83a1,721.54,欠税额低
261,cb9314f5f0be2751f6bd6dcd2e492672,60432.38,欠税额低
262,67b7d2edd35729e060df78bf54c63338,4004.78,欠税额低
263,79632b6c6f9e49750a93342edcb83839,834167.1,欠税额高
264,be02db35eef2f55af1555ad9b1ca1b93,316768.42,欠税额中等
265,9c0252f6c58a8b7b6309c8c33458d2a3,2156.42,欠税额低
266,96ab358bd306f3e125d759394bb5d95a,268594.62,欠税额中等
267,c78e8a94d25f0bd29ea12bf280d6c4d7,1275.73,欠税额低
268,61579f608f34bbf4536c8b6c13a42c1e,446407.41,欠税额中等
269,f83f55b66de4cf9ef5048d2b147ae5b2,126.36,欠税额低
270,cefe6a7c958b2cbcaa6e5bce9b434062,153073.75,欠税额中等
271,c5bfcc233cda76ce0f69cb4019d9d6e2,3665.09,欠税额低
272,de027b1e3f5ed05ab7f571c2f38283e3,2545.17,欠税额低
273,4ef701d1c9b0837095262b1122b3d048,17475.72,欠税额低
274,a9e9d334d633372b543a1238eab3ba58,989.34,欠税额低
275,dd3f81cbe7137dfeeb33faaf3d84d6ef,3285.41,欠税额低
276,784e6ac2def0f5637812462a88223943,18510.91,欠税额低
277,07d8c01cc7840b4fc8105a9e5b8c9f88,600,欠税额低
278,c6301f7d7475d9dc956705a56967a43e,150,欠税额低
279,4ac7671ea8b7db17d2470cdb3261929e,5024.86,欠税额低
280,a6bd18e5d8bc320c92e609de7f1c8360,1200,欠税额低
281,c4f5d8233616235ae28831cd5c5a128d,141487.64,欠税额低
282,337bb972125dd3de76aedf69da7d78a1,169854.7,欠税额中等
283,f929e3c24a9b3dc5732115f6c16a88f1,8815.14,欠税额低
284,d9122f778adb98d57e9fb12e4a95f8ce,132948.7,欠税额低
285,ffdc5b4bfac05ab98361f2bc62d69df4,58960.12,欠税额低
286,13ade77df1564cdb2ebb772b5476b224,1355.71,欠税额低
287,f2df80e23982e356a44bc78484d31e96,320,欠税额低
288,b165a41bb2838518e1bdec431d2b9bb9,254.1,欠税额低
289,c571aad840ffcbceb26937710a7eead0,13599.69,欠税额低
290,0c731d70430144e6df86223384fe0d82,48029.84,欠税额低
291,02bc7c80d2740c828ef09907ffd0f1de,623.94,欠税额低
292,6c05e89fba96a5361a62233f26a7f385,1392.62,欠税额低
293,c2a84545915939224fb21ed676848c1e,2165.67,欠税额低
294,a076f7bcd78668cc18aa378e2bea7753,427.35,欠税额低
295,96ade53421eb799764a1ae02cae9f19e,10.13,欠税额低
296,b98d540bb1e7a1b4d833c2cc88d028cb,287714.59,欠税额中等
297,08a7d26d2556705bc55f02782858c863,3918.73,欠税额低
298,efca94585d31c638e0604cd47cf0400e,2165.88,欠税额低
299,7ba93af6773947113153c81f856722e3,150,欠税额低
300,61dc17d045600be02c968d2b829e3a2d,49394.78,欠税额低
301,6ceaf95c1b1cd825d22d8b9a17fda31d,0.01,欠税额低
302,58d9b6c5c3b3c80ca9be2fda8d1a7173,169557.69,欠税额中等
303,a19b78a87209b7fcb0f3d753bbf19c84,8873.11,欠税额低
304,53e6c7ec16cea0dcf8f38c05c3d066ae,7992.4,欠税额低
305,2054ff42d2e93c76912ce77860d4edb8,123962.65,欠税额低
306,abb97d404dc15b4888f74a9d6e943d4a,3489.6,欠税额低
307,997eb54564a2315ac1652f1797e9e1e3,3880.72,欠税额低
308,33f4dae352756ea73d54541657400b06,20451.26,欠税额低
309,9c162b40222f36bcdc0f17251329d3d3,9991.45,欠税额低
310,f5544f6d3986b0cd6f06dcb11e3b40b9,316665.72,欠税额中等
311,ca91e55aa8643ceb47875d6bfbc94282,3550.03,欠税额低
312,e687311ab149826edd7f60d6ef46f576,980.39,欠税额低
313,6506f047e035ecfc042182945c01de53,12356.02,欠税额低
314,5fe86d36f3c7709acaa7433a4b5c7952,13988.91,欠税额低
315,0d87e9c559a494108e1deb2d8c81e11d,750,欠税额低
316,be384af2522939f72b9e4bbc7df200f4,645248.66,欠税额高
317,1ea3b102fccc9d89dc8b17d2e341eb7e,50927.25,欠税额低
318,b00e6b9ba642f7512e2f91d71bf8e6f0,24896.52,欠税额低
319,ddd58fb407c574d1403350583cf39fb1,282362.67,欠税额中等
320,dfde87a60a562993352fd25b489d1d15,1204838.73,欠税额高
321,7cc6cb4b01c0fdbdd999d9f38cac4ab6,42246.5,欠税额低
322,5525f22de4be9251977f6d5f09e67748,1236545.22,欠税额高
323,d130f2853baa8bc9a791b35b47fef661,10971.35,欠税额低
324,fb4448b19a7c544fd9fd7db12ed724be,274151.34,欠税额中等
325,8233fb0e096993bcc499dba308557084,3474.45,欠税额低
326,8c4b53b7c269625098235651b5ada03f,414898.69,欠税额中等
327,965273e14e70d9074aefd33a413acc2e,16225.73,欠税额低
328,ba5d6d1629f6aa1097cbd5ccb2946dcd,915,欠税额低
329,50e9a6d1a355e908ca3fedf3a8a9dff9,480,欠税额低
330,d61c5952d42d79f32673ee718c4129b5,900,欠税额低
331,dbe369aa8fefdcff2157a4cd489008cf,90,欠税额低
332,e0ae4678da02d3520103e75d61a8d392,120000,欠税额低
333,052418652efa75005ce38d2f0d794193,7734.25,欠税额低
334,f7e47598bf866a38db149a883a328054,9526.45,欠税额低
335,3063a8d34c40ef5c44e4c536d20db5c7,13900,欠税额低
336,1c8e6f67d7c8f81a65915e855e937f98,242.68,欠税额低
337,2da6e8788d1725e241cd85f8b25ca76a,1405.04,欠税额低
338,7c03b889b4ba44153ac3c4adf38c6242,596705.84,欠税额高
339,e8be8661f54487685a41d2d51bf6b8f3,4077.64,欠税额低
340,c51f502598061548046b85f9cbe55dcf,19274.98,欠税额低
341,376a1a82c3d28a56a222393966379a20,453.06,欠税额低
342,5872dc48175c5fbdcfe535274d5719ad,3895.25,欠税额低
343,ff946afc124702c7c1345bd12b75f350,37.23,欠税额低
344,2091866fab4d1aeb92f5b9a94e9ab163,133.28,欠税额低
345,2ed7ffa95e8736f2ba5b59ede0d4b157,843.46,欠税额低
346,d578f002ec935132609be388048359c2,510.72,欠税额低
347,c7d034ace56195ceabd7cbebd3a81bf1,174,欠税额低
348,774b867bc306d2b22a95b4f2ee1fe06c,2714.56,欠税额低
349,f981de64a3e7389b073b011696a62426,9806.76,欠税额低
350,d89bf24fc6ad6be504e8dc76926f7395,32487.52,欠税额低
351,3669d704e061e2c4ac04210cf3375db3,21446.24,欠税额低
352,016df473c61ee7f21b488017d629f4f7,313254.28,欠税额中等
353,a554e770ee3f98ec833a5dc879680ff4,3767.84,欠税额低
354,d6abedf041cbcd92a212f5aa231a86ef,212,欠税额低
355,1298a5ab40b055f768bc7b8126f896e1,3770.72,欠税额低
356,683136809597c877c33fe76c3d47854f,262.96,欠税额低
357,530a9b8e83a4a096d585d196469c3958,229348.32,欠税额中等
358,be8318fc7120650f60d29d7aebfe63ad,127.58,欠税额低
359,995f7f998b0dc2a2e2371631dc427a1c,339687.89,欠税额中等
360,f2459cb62295bb33f91a9ae9bb7a2b66,401695.32,欠税额中等
361,aba0bdef0152244fd1359a28cda9f25a,786.41,欠税额低
362,70aa21fe609f92d19adf6f179be82cab,5186.62,欠税额低
363,d33af0e2f1f7a8a746bfcc8ed73bf435,951843.08,欠税额高
364,b53aa30b9273caa40ec8c37c056ddd1f,5707.35,欠税额低
365,7b0b045227056f06eae54d9899b75dd7,871801.38,欠税额高
366,24fc3187c1394ceb53e8c32353465474,22579.65,欠税额低
367,cfe69efe20b5276dc23021ebc7f6fbbe,3632.72,欠税额低
368,eb68f6d23755936f95ec9cc357a7ba7d,163801.27,欠税额中等
369,19c032cfdc333b333d28014824295d26,54573.35,欠税额低
370,c38ce613f5a4d1566842557dc73a1460,115400.55,欠税额低
371,003ef0a7e75d860b253863ec90fb62a6,25186.31,欠税额低
372,68d8fd169ac6df462a55dc5ff3c27430,5172.47,欠税额低
373,94d09f78d044ed486225d677db70a1be,20450.42,欠税额低
374,e1089f9966982640ce33d4b457f446cb,1884.95,欠税额低
