,entname,shopnum,shopnumlabel
167,0d5dd726f71a972548a7e9b3eb132de3,1,少
168,576bdb3e9ce0925c174af84cbfc9e5b0,1,少
169,c0e3b0f873fb55923371f3de9e07d905,2,多
170,d175532568a394d7493fd8209e9b54bc,2,多
171,5c9526562a7ef6f22b76f3c9bbf26703,1,少
172,510912513e41c1d29357e8b813c60efe,1,少
173,0ba799808e1bc910caa3eb02520289cc,2,多
174,04222ddfd4b8b605eee31d05876e5248,1,少
175,3b0d43d507438775184d9d48a73de523,2,多
176,1b6e1bfed4d3bf40cc5b50e61f3fde94,1,少
177,5f317a0d96196a9a71a6061a934ae226,2,多
178,1a672ce315d9d0845dd6ddfb01d32f11,1,少
179,a2269070435a7f9cfd0d448462ccfbcd,2,多
180,35a0701c758640a71616ab254cfc689c,1,少
181,961c608907a830a0206d72c8e1054994,1,少
182,cfd85e03e154dab2b86911f77e7c82bc,2,多
183,dc061c0507ab243598a66cc658318f51,2,多
184,89999c5b42972b2d237fb88c6af21635,1,少
185,f2f1ef0512797cf14e25fd7afcd6a7b2,1,少
186,d7176d6dad3297331be888b9183d9cc8,1,少
187,53887dec09a4d00d8302ca42492a0d01,1,少
188,ef1decd56a741bd95e3dbb3a821a98ce,2,多
189,f8eaefed0e43fb1cf2b49ff944fea535,2,多
190,e84065f8379309d2ba31aaaf2979cc32,1,少
191,c66c9c50e7d92e7bd52f84374a3ebf38,2,多
192,7c4a6b8a42907b01879c04102569a15f,1,少
193,b75a9f7fae776cb933eb65dffec5b2d8,1,少
194,c14a97810afabf552bbeebe83932f7e3,3,多
195,fa73aa684273319d873bae7cfcadebfa,1,少
196,1a14d107f38b9e8c46f83793a89b2ab1,1,少
197,5e66f98815f0494b8ffc9f5e161e9047,1,少
198,84be69a6eb403b4e3da59ce53829dc2a,1,少
199,ece1b73edb04fddc66fee98050d27ca3,1,少
200,b8440ddb10be10904751deaf7dbcfba0,1,少
201,465942fb5d187ef6a8dda7867fe1b962,1,少
202,a5fafbe7515fb699469eda690496570c,1,少
203,ed7b585d391c4259adbc1899d787381e,2,多
204,66eed25f6beae8074a47f00e6cefa180,1,少
205,93a0491395e950d64743e83cd9e554e2,1,少
206,07a69ec1c9bf2e2962b4882ececd5b05,2,多
207,51bccfbabdd80db44ce78350d5a6e708,1,少
208,03c59400d1379a17d99941d904457a69,1,少
209,664e4bb83b7272ed3ca2c099936daade,1,少
210,0ed94c5ed1a7ad80cbd82c97fee840e8,2,多
211,07f55c7de76b19b1ceb6997c3c3c98a4,1,少
212,eb4a4d6c275ca209b390777c1287add0,1,少
213,0f6fe23695595c5aed06e098329c9af6,1,少
214,4f1fd26bef588d6d9f97eaaf4d812324,1,少
215,85fbe43c27aec7d2c607b44ddc9e8e2f,2,多
216,f01cb76848b97b45b128287ebb60e7e0,1,少
217,5f899301868a9b597b6fe8eb3fb26c78,1,少
218,57d4b3a39265e3db5ad871a0c04b4382,2,多
219,e879adee60ea2cb22804a383eb7cef3c,1,少
220,9e92886e14bad0e9f5e459c8937faac3,2,多
221,f59171f5209f4155bb32d67bb29f6061,1,少
222,a1e07309bcc5c5a9a833184299f7ed3d,3,多
223,e8ad1bbec4ef7b5fd4f8564749eee562,1,少
224,1060b740b3de3e8b0386eceb807cb8e0,1,少
225,4d7e371807f5ace0ffc24a4a59b140e9,1,少
226,f9db1108567c2a28972be992410b3ed5,1,少
227,fba7c46499486bdb2f6221c9f2bfb1fc,1,少
228,d33a26628e1cfd130c495b05ceddc4eb,1,少
229,cc4afa94808b4c36c990d44420024e16,1,少
230,8303a288de23538853c4c027e5f1432f,1,少
231,fc35df78fb930dbcfbf0833e3330d2aa,2,多
232,b1cae64f4abe1fb0634d28cac5067230,3,多
233,ae9e956e31a7860f2290d9987176ca38,1,少
234,ff861bbcb1da250641f8ca1b6ec88c07,1,少
235,277c1ef37bb5c98ea45f690c47c68c60,1,少
236,25309217bc5899dd760aac183adc11f6,1,少
237,8ee7d456f36a60fe04d63595b82c4332,1,少
238,1549d5f044e20c5c4d4f9f4fa13dba3d,1,少
239,0b72afc5d55ec9ce673458749eff3e0e,1,少
240,11c82f609400a05a17062b6a7f91674e,1,少
241,92d6f99d1b4361133a9e507963f061dc,1,少
242,951db0ad09afddd98c78873e0f437aa9,1,少
243,eb2e64cba28a2ca0b31a0122f973f2d2,1,少
244,59b2aac026523021d4672c7054686970,1,少
245,69d587a4292aa4fc8ff4ad8426ecbbe8,1,少
246,5ce00a8b9904b0bda94187ccf32b01c9,1,少
247,0e52c80d2cc06005d387b09c979c0a88,1,少
248,f3d36744b8e9053475892b95d9f42dd0,1,少
249,5589698f0e1d41c44470e685a0efb3da,1,少
250,6eb384a52da8d45ffa39c934a584e6ab,2,多
251,1959e7dc84e498b479c604627d4f7729,1,少
252,db4cad542902441ed3a19d48ca0f407f,1,少
253,09fa38ee9f48abafa7aeda2dcf1c3316,1,少
254,c98bf742d261c12fdbd778e476a9276c,1,少
255,5e04d418a5a3c0f418305c827345945f,1,少
256,023a08a45291f1bd21a15e8c18233e27,2,多
257,326bbbf06c235aa1babceaa76694cb5a,1,少
258,5049bf1425c6ae35b3e41c0cdbf55fd9,1,少
259,c54231f5e15b5d03181dd77ab86d65c4,2,多
260,eb3d828145d2c944af933c9cada61a57,1,少
261,91317ecb9b3b6bb99770079da2083f1f,1,少
262,2244d409fbf23630cc4e45f8a26eb22b,2,多
263,82df88fc6c9e8dd01ae924d1c9d9c028,2,多
264,0363941f691b0ada9075010069acd489,1,少
265,a1e3fc3d65171d07ec0574dfe465b9de,2,多
266,a8d6f68e66c94fe4ee65aad0a4e96838,1,少
267,81d899e819576d8ff03fe369b90ebf06,1,少
268,bdb64f0d37877fadd579a0f62c19ca08,1,少
269,6e526e4720b38f8fd770ef9d76aa53ef,1,少
270,838fadacc4cd2919fbb27c112dcd29f0,1,少
271,e8ce754e2e7ed338d523ee486a42d362,1,少
272,9670c602b50257f8352742103b8da440,1,少
273,9739821934ef626bf75f423a75970159,2,多
274,d7046670ef2b113bc308bf52993806f3,1,少
275,76b5eaf91833ee73fc82362ab167e11d,1,少
276,81d2bbc167f0daf534b947719f6d78ee,1,少
277,6283f8a1905dce2be3ea032d5f74f3cc,1,少
278,68f2eb06fe0d2b94bf162efd55deea6b,1,少
279,b94280c69d7c365b532ef51c48308515,1,少
280,35280162edbe0f24b7823ede0802271d,2,多
281,a866e5d66c14797f014fd34f5c69cd99,1,少
282,ea5691a2d60aab96db6cbe6cbf7235fd,1,少
283,ab63c5788f23be12aa71e6277589fb8f,1,少
284,63be1799cfe8760daeae178706a29ddd,1,少
285,922826bbafcb42491924690912bb8438,2,多
286,f65f487d01682af18cd85cad4a314155,1,少
287,c72622931b4dfb5dc3675f60ed4c7ffb,1,少
288,954c260ab965436869b6c058a85c70ec,1,少
289,2128f2b955482a0d74b4ad297c5e4ea2,1,少
290,27069aafaafc6fdebe4a896481cf3c33,1,少
291,724af492ff517f7da415b416ad4f1c2f,2,多
292,9fc162fb47210b14719fd9ab8a861379,1,少
293,5f624bbf1d3fc1cc056984b40a944897,2,多
294,f6c9d5261d58716420eab09f04e4d5ee,4,多
295,227ed88fcf446f92b43799e4786878b3,1,少
296,9e821108c69bf65b704c1e0119c8a811,1,少
297,be55c83edcb1eb3a0e987b24f54953d1,1,少
298,e32819b2d524e5646e94e78e6bd819c2,2,多
299,fcb3a0708d21392e9f8aa9b7ac0aa384,1,少
300,2f18994b2fd3973cbbf989588f644583,1,少
301,f7a224feaaea6006462cf04b7da2c477,1,少
302,820e6985b817f6f79c808a29ea03235f,1,少
303,6961eabf495de69d491c43d2be8dfc12,1,少
304,962f381f558e5f9185d76ba9eb58960d,1,少
305,ec8d3c3429a94b07ecf8e57161ad5a86,1,少
306,48aa0dca137480f4f379680c20d73d1e,1,少
307,7d108d61bfe40936aaa01f09ecd0b115,1,少
308,4f85a40c4b4c88f2498f9c269ac9a182,1,少
309,2c00c141ad25d9fe1d878e61d15ac9d6,1,少
310,ba25b0f71740e4eb7fc68cb54fc57112,1,少
311,7f49027d3ffe05f6aafe967cb6749849,1,少
312,ea197d2148a4c46405533915bf12c501,1,少
313,ea4dadd607cc71e6f50c6b204bf08316,2,多
314,5eb2bc395d2bf67e0ec1fc66db0e1c48,1,少
315,fe6102bf2f9fd73118613c0e7adc177c,3,多
316,158425972422ce0cd66e9a7b67b3d29f,1,少
317,66be6f3400f98e95fc34aafb9ae55637,1,少
318,d7a53be04656e8aca9751afa7c43e7cf,1,少
319,3352060130be67cc5399cf1de95b67a8,1,少
320,825ed21405eeefe1bf85d4f19892c9b4,1,少
321,e1a06e19ea66b58578fad417ae674f02,1,少
322,e3457d0c42a56f01e69b1ec7640bb939,2,多
323,621ec18f0a624e01aaa0dbaf5ce3a738,1,少
324,32c96e8a4ebb64497c87770e36d69c2b,1,少
325,84e2cb56dedafb8f5d26abc505fa732c,1,少
326,fc53e57e674ccd3ff438d23292308270,1,少
327,461a1ebcc426fbc55332e6001b754618,1,少
328,71c1c3555f8df9d1faf53c684c60fec5,2,多
329,ed20ec6e5d9798dc6231578e4a4574dc,2,多
330,6946690a8c96b77abc677e679ac939a0,1,少
331,d6d85f25e632619b3592075753f7993e,2,多
332,4d90b93774a360b34c5ff0de32e83857,1,少
333,eb18bd72c8a834e4ad6aab089aa2ab0b,2,多
334,cee7a18f4221fe3b176f3e5ebdbfa534,1,少
335,f402465280c0f51dfa5605df84692687,1,少
336,49a7ef12173abba441f68a56117e1b6f,3,多
337,b4b4bfb4f9c660d95de08d892a0677d7,1,少
338,ed696171b77e0609a44c19a6f205106f,1,少
339,0d8f310dd8ae50bd5ea349687856695e,1,少
340,33d3e10ba2568d934ac9cc2d034c7a55,1,少
341,508bcc1a8e23ed09a584cb54b731c576,2,多
342,a416caef2099716b949a2fa499b8d019,1,少
343,3602654353e2ec157fcd8cc06fbe689e,1,少
344,f7baa80b28b9b7477fad90fbaa8e151a,1,少
345,934227aa0b009be75ff7303d7eed65f9,1,少
346,d9e3f89d7ba1e6204560ac026cb25eed,1,少
347,d0b0b6c864e6947a7c1c42f7cbda88f4,1,少
348,f45c734dc4f5dd6221976b135c22728a,1,少
349,270d6b8201d7cf823e5f7ff381611af6,1,少
350,432aec30bf9b6a92707f69a783f35245,1,少
351,bcae52855f2f7f6741ffe31e517de797,1,少
352,0a3fdbc517c96e00086fa49690dd587a,1,少
353,b858bd4acccd2da02230820532d77235,1,少
354,c03d80357f044ce81b183bec4e72f1ff,1,少
355,12b338448a089a0bb1ca94e6b72414a0,1,少
356,087f69e93b1ceae2b207f0eb7193c32c,2,多
357,d89fbbc53cd70089ceb4de132abf5e73,1,少
358,2dace635c8ebeabae50014525adaf712,1,少
359,40e658e02822b46542ed15f86bffc2b8,1,少
360,41bd84224aba86bf16210b34b6e94544,1,少
361,a737d171bcb74bdd0d03a89d131df442,2,多
362,21c305d4dcdedbeb3669d34b7f6a9f70,1,少
363,877b7403034b64feea979069380e9675,1,少
364,0159d100568ef8191360f42372aee3b0,1,少
365,ebbf3c5aa96be2e4cbeacdf5f03c2889,1,少
366,f62bed1dab2dec37e8a41ec44de8b2d8,1,少
367,654145d114e77b8a314106df571c047e,1,少
368,e2eb7449a0b9c9d5f5aa4d364692a4a3,1,少
369,47216199033de5677500441bd163f224,1,少
370,7b919362f374647157baeb371335367f,1,少
371,c0049f7d27185730bb3950826c2e6a33,1,少
372,ae11a57a55fc409f7c24a55f8057e244,2,多
373,58c16a077ca21ccff344cd61ce75af51,1,少
374,f2846a90128a828eaced0780e4df94b0,1,少
375,f0f8b05e2ee173f18ede7fa2bad0f371,1,少
376,76f2d749ed06161c6d2dd2ea0058386b,1,少
377,6b16b226287af264356dd1d845c86b80,1,少
378,1a921846da620f1f30f283f6d00721b6,1,少
379,8e9defe67171661ff8a7589a97426f62,1,少
380,252808c68726f62f702ba2e10af8d729,2,多
381,d00f70d0559c8e7368dc20435e044c94,1,少
382,68eba8023705462dfd5762ce753b8f05,1,少
383,93b7e0189d304bea545277f77eab774a,1,少
384,7860afbe5eaec332620bad27af5a283a,1,少
385,dab092f9ade080c68aa6e89c3748585a,1,少
386,3019a9d5e6fe724a4e499c2e7f182d8e,1,少
387,45976a102a37394fcc1f3224dee2e212,1,少
388,6460758b725fd442b97322ec3224679d,1,少
389,82e111eb6e4321da5b64558562cca356,3,多
390,4d67116f0ac830efb4beb0fbebb91adf,1,少
391,890721d92096a6c6d01a9e89280bca50,1,少
392,1a8af11a83dc79604c8ae23040f9f495,1,少
393,0d1dcb8cc6c3dc2d0bfa530dc6fd93bb,1,少
394,675e89134c3e9ff8f1d914247b74bbe5,1,少
395,783df1f478d5221bc9e4719322968ef5,1,少
396,461b861d228c030d6a75bb7c3824fb00,1,少
397,3f2995282a13fd9fff92d18615c5af36,1,少
398,1c24a38a32ca7780a214418c1a7a5959,2,多
399,2aff39fe100c45ea488b535e716542d1,1,少
400,6228b5745fcf0c652eb9323830fa7130,1,少
401,6903143b979fdbb189d7337e004846e9,1,少
402,6b717b7b488b72550322ee114d30ffb0,2,多
403,d30a22d05c219429e76a2c0b23c416c5,1,少
404,4ef85a060dc51174fce8fea4eca12beb,1,少
405,f7521a585a418827b1e77c02d0459911,2,多
406,f51d4827fce0594260d41ab670ef8594,1,少
407,c21229cd4e81079455336254218e19bd,1,少
408,49d8eec08b4deb63b6092a7c780d15ab,2,多
409,12d16e7a0cb73b955f5c73db1a984d18,1,少
410,678c1cbb71850397549fb1ba9d6a09d0,1,少
411,fda774702edbd8b449785395cc6f2225,1,少
412,1ae2bebd2e8411fd437a2ee65f1d2190,1,少
413,978563340d0744e1d2a4dc034f0e1e3f,1,少
414,00b751dc3b694755c35e109fa69d5b61,1,少
415,900651ce9837746e90bbe2e4a6e9fc60,1,少
416,9d990ad8e89b7ffc4c51a5c66160f590,1,少
417,39c92803d463e981f169de2f95178e8b,1,少
418,4c17c6ee4a230e6d26db3e6392ca88b9,1,少
419,d784d0e75a65faca88df32f0705a5161,1,少
420,3a77de438dfb07ad67918edf43830fee,1,少
421,fb2937c48396f98cb52a0ab763e935eb,1,少
422,8162d1c3544ebae39459d995ae62dfea,1,少
423,e7fbe90da4b2a641da08695bc44105c4,1,少
424,6ff03adc397f47b06c8ac8133f4843b2,1,少
425,e5e5e55403cbcbc156db849897d92a26,1,少
426,bec43cb38b455c3d2611e8262d1e4789,1,少
427,f64fccc43fe0e22a8ce7bcb03052ce95,1,少
428,9239a3309f019ccc407cc3cc5c46143b,1,少
429,c094ae0c0469aa9bc089685361e5eb24,1,少
430,f8484d8e22ddae737143aa6b0629819b,1,少
431,8c173e3d35f5ff1442e5a848f8b691f2,2,多
432,dbba8952a9a90595d7ac6e1c5b5b9b19,1,少
433,2393814d7b119000c5bead0c6a2d28d6,1,少
434,62cba89d22302d2ecb2ddfd224e9480d,1,少
435,f0fc856f4f7e6366712690b8182ff1e0,1,少
436,c4c45b62abb496292047f761d73a2227,1,少
437,6db1206d55e7273f2f91c983e43de68c,1,少
438,5adf96475e6f5ce2cfa09d6377b8a2b7,1,少
439,92ee861da540bd4f4babd6b90089b0d5,1,少
440,06dfb399528ec9f4efc6ba263ca4acc9,1,少
441,3b991e9d1a028986c40340b2e315e53b,1,少
442,abd45d3493cd427ad5106ffc00282a8b,1,少
443,31ee90cfa10c74849d4c1a349a68f652,1,少
444,1f1dbb02ac621fd9bee011ca7680a242,1,少
445,8cb9e3cf3486c828127a47129c7bb0c5,1,少
446,bdb7fb31442aeeeb8a5258b255f6b7a1,1,少
447,0561ccf6fe94faf77449e85ef63e025e,1,少
448,afbde8bc54c62fa09097740403a34d10,1,少
449,bd9a75b74007f4c954db1fae6b90c4ec,1,少
450,15c8b8648badde5483b97023d9560fec,1,少
451,9b892672b2fa73c56ca03faac231a028,1,少
452,bc8611338716fdd52882afb6bbb182e8,2,多
453,2a5056e5ceda3508c7310c30ae7a7601,1,少
454,a69a75723bce70dd2125f0a6b22f88cf,3,多
455,578ab9b4b6b2a166263065615009b883,2,多
456,ee7deb24655709099e89c168452b44a6,1,少
457,d1c35281c2a33d395fd2a690be1ea1d1,2,多
458,06ed2ef044d5ac4a2123014c4b550073,3,多
459,e2249764adc84afe0bb4b4bd61b4e5b8,1,少
460,8697913d4eff73d65f6980e1cf830c84,1,少
461,ae143f0b9e57571f8560d7e988a66fc5,4,多
462,e6430cf2d42e4d0a90bb84a0f73eb611,1,少
463,90816a8b3859a78ddc88719325419421,3,多
464,8f6a6438eb1657ee4a3dd5592f189515,1,少
465,f900931a416111048d937e0b0e614071,2,多
466,b8fe2787089c5cd61df2eed53c9bb10b,3,多
467,470593b49d79102cea3e8604f5551685,3,多
468,b67db45703106953188797f4bc7eabb3,2,多
469,1e4eb3ee9b37147b68eb745ca4e49a44,2,多
470,aa9dbfd085cf4374ae269a2bf638ee65,3,多
471,afb19f5b325c539e23961346d9b9bd59,2,多
472,a8145a0089daf51e948d0bdac4142132,7,多
473,db6ad991b50d502156006f3448af91b1,1,少
474,7d9299b56438f3a19c22ef8628c93857,1,少
475,dde6ca3c74ba8426e023f8abaa207ecc,3,多
476,3fdf1b3be97dd8652027eec4c2f9e392,2,多
477,ab32b7d9f6720fae1586b91244fcfa56,1,少
478,c4c5ec16591bff3f512a5e1f004dfa12,1,少
479,086326fe89ba9273e3323df8f0c164d7,2,多
480,90bc6e514c1e517acc7524793f98f96b,4,多
481,d982c445d000d3c57844f9f2cf533a43,1,少
482,0214343cf357912946ca37435e605ffb,1,少
483,e69ad0ad4040b7af865a7857e8935b68,2,多
484,70dd02f3c0e0150b26a44a25eea06315,4,多
485,ad56a0898d06a4d2e29a5cb4d31d4338,2,多
486,79e69be1019fda67c02bf2b129875c08,1,少
487,218fb5205060f01c456ea4008923b698,1,少
488,82294419ff27c373973a7d0a472f61af,2,多
489,aabc1d762d59d909d072074422039fc4,2,多
490,4ab3e01dd66aff87841c6d78ce7b03ec,1,少
491,851570300c989f50d0bba2a1fd8f6d5f,1,少
492,d9008a90135612f4d76bf3bc2ecba2fb,4,多
493,417eb2a8de635dc5c919a74734316b54,1,少
494,a4f2500c6c1a1bb27e81fc8e96887748,1,少
495,db9135e50e48174a4d3684bce11908a0,1,少
496,91c34000dc6915516b8232cc2fedce22,1,少
497,913686648459fd1f08d7799f20892e57,2,多
498,1984d01ac2ea37753c76a02f3d554a27,2,多
