,entname,bidnum,bidnumlabel
152,e703e0d75125662d8297c31a7af17c51,5,中标次数中等
153,92d6f99d1b4361133a9e507963f061dc,22,中标次数多
154,8154f360283c9f7e21a4811473bd8968,1,中标次数少
155,1e6887b827eeb961d0dd3e848cfb8d08,4,中标次数少
156,85fbe43c27aec7d2c607b44ddc9e8e2f,3,中标次数少
157,40a0d0569448d79c100fe752574368e6,1,中标次数少
158,00c899cce728761e1eeec13cbb475a41,1,中标次数少
159,61de750bb873cfe861497d4015c851a3,1,中标次数少
160,c5b73bac22bce3b2c117a6a25246d511,3,中标次数少
161,eca0b85a3918d0967e054e0b41e41ea2,1,中标次数少
162,6a6e24ab2faa5fd2993e4a22b5a1b8bd,123,中标次数非常多
163,64727226515b8f44d90d9b0e861677b3,7,中标次数中等
164,d4d8371f4bc6d340821feee8fa2c0733,1,中标次数少
165,edde7bab7e9b8e767530d4974a199275,1,中标次数少
166,8d0db314f057a1add52997b147a76c78,1,中标次数少
167,263609d05d24782ff789e896e1c17674,1,中标次数少
168,363efa6b2c322f5165d8876c15b441f1,1,中标次数少
169,40b22e4ef025c3e1d4c234c73dff127f,4,中标次数少
170,731b7598cadb3ab8c62704a72bdfe3f6,1,中标次数少
171,1e9863572487dd4a98b402434047d2e2,2,中标次数少
172,8da8220045df9d5b06c1270d2c747cfb,1,中标次数少
173,48877e998f287a7700308c4a1be68d77,2,中标次数少
174,8565f98a9fcd0a1da098f39082e0c283,7,中标次数中等
175,73df1a0a97778c22e20aeb3f1c19c8b5,3,中标次数少
176,581cfb9262548d6463687eaf7e05b765,6,中标次数中等
177,f9cfe29ff8064fdf5489aab9a32ee258,8,中标次数中等
178,1617441ccecffb18626efc20918d3f88,27,中标次数多
179,cbebdfd5442aed05ce73e5399c6cfb0d,30,中标次数多
180,a111e997a9ee3a676aadbc046e59a5c1,1,中标次数少
181,0398130b73fd900d6a4829577ccea25c,2,中标次数少
182,9bd17dcfabb5f43b7b7577861367baa1,1,中标次数少
183,fa8aa19bd498b4b24d9bd65405ba2024,12,中标次数中等
184,eaceb11592a653c45932af07904bb60a,7,中标次数中等
185,34b1498bf4fe3b1411ad3711f7657832,1,中标次数少
186,fe353309334631b0cc565bb38a006860,2,中标次数少
187,14e258e7a7dcf63c152d8734b5f69a78,2,中标次数少
188,f7652afdfedda49af1c9d0a628beb4d8,1,中标次数少
189,19d3e4b08e8ea6e1b89fa40edbdc5fc6,1,中标次数少
190,849b9f51083d2c5c72da82e9fac82f9d,2,中标次数少
191,500d8b1275459b886851c1412154e9e5,2,中标次数少
192,25bb182b8145ceb0d0ce9b64a208d995,1,中标次数少
193,eeda130892ca9155e207ce9b78aeb897,1,中标次数少
194,c740b73cf9a1547cd23384d05c37044e,1,中标次数少
195,798d14140b8744e9d2e29d0671913d27,1,中标次数少
196,2c38ab67d031a58d0253baa413630b98,21,中标次数多
197,de58bf13e0eca90653f1e0e9df7472b6,1,中标次数少
198,3f743ad22f3efacb893c96d78f191411,1,中标次数少
199,1c3cc9879ee0f2328812bbacbe7a3ae9,10,中标次数中等
200,aa60ded59c59d6210a319dab046184e4,20,中标次数多
201,9cd0676c4c8cb444b6624c5436865057,8,中标次数中等
202,b7f38d00dbd14b6e00dfbc8984255989,1,中标次数少
203,520b6346c8d7d65d552f22fbec568c83,1,中标次数少
204,1293c7e56fdef90061f6f7739e3fc131,8,中标次数中等
205,00d051ed8cc06f9800e5f3c98f09f58a,1,中标次数少
206,18c5fa7fab62d57a6f6d672e9d1a37d8,1,中标次数少
207,41803804d1acdff0577561753469cd3a,1,中标次数少
208,6114857150e84a4a36ca7a5010118fb7,1,中标次数少
209,06fd5a7d1887c4c95d9e87e3d392c31c,3,中标次数少
210,56dac72ea00712fc51119d35ca258e2f,2,中标次数少
211,a7f81a3168cbb52b976aee96e7359711,1,中标次数少
212,09ff45379e8df86b2b706683daec5dfe,1,中标次数少
213,c7a78b85607615b08665399a59dd3f7f,1,中标次数少
214,654dfb0808c1b9e262145d35e3b169b0,2,中标次数少
215,74ebfea076e7c4ef60e015442be9095c,1,中标次数少
216,e3cb7ccaed9389228a95f6366ab80990,1,中标次数少
217,52975e6b73969650e6ce23e3f16d73ee,8,中标次数中等
218,01a044cd455a8910b517516b56ca2597,1,中标次数少
219,a40df05110451a3545ded7ecdf286d0c,1,中标次数少
220,34c0a7c98ca7dbc4c4581d7711e70da5,9,中标次数中等
221,ce74b581f3b6fbc2dd90a972ad74ec57,4,中标次数少
222,ce3265a93bf1585b1ed2199278033348,1,中标次数少
223,aa6c1244c2d7cdc10560e6055ab219d0,1,中标次数少
224,d1ae010f5fc827ea2f6008fe4e10aec8,2,中标次数少
225,1acd9e709aec61ddb837c50b5a826d00,8,中标次数中等
226,74c0315d6f4bbf7e9cf5c1f4fc2b2743,1,中标次数少
227,cdea60eeb52bdd8cdba2f79868a61002,1,中标次数少
228,e69ad0ad4040b7af865a7857e8935b68,8,中标次数中等
229,90b2203493230ed94da1993eb388dfb0,1,中标次数少
230,cc2b609c79c76cc20f9ad7e636874ca7,4,中标次数少
231,f27c4df10ce4f22eaf1acea2a06bbf43,1,中标次数少
232,309aed9b1d11121f3496ef1c393655fe,5,中标次数中等
233,54ea2fb519b8cd70a83277cf0303e684,1,中标次数少
234,22456401600b84c7258a1ad02e8478ea,2,中标次数少
235,5b3a08166ec36a9a133c1c960c85a070,1,中标次数少
236,78c88cb298cde014d39ed2a22b386443,10,中标次数中等
237,b3d6958f719e25fa9f228f4600eb5cea,1,中标次数少
238,e4d55ec49d6b5106165996d4f385e25d,1,中标次数少
239,f04c6135d014de095759d62e1ecb1648,1,中标次数少
240,cf5567cd34baa8146e1c5416ce360b9d,1,中标次数少
241,fb42fd68f44bfaad4676f84f7df080e7,1,中标次数少
242,28e74be7bb7330c5192f53ccc8bb941a,4,中标次数少
243,ce8398982f617cd12fe594baa9e1fb85,1,中标次数少
244,09d18564875885e6822994998b636d8e,46,中标次数多
245,d982c445d000d3c57844f9f2cf533a43,1,中标次数少
246,d623300e14beb100cebebd93f40aa14d,1,中标次数少
247,e5ea1afa44c642de30e45e0be18145fd,1,中标次数少
248,8c25fa2cf15344568adeaddc44080a20,1,中标次数少
249,aa36f5bd1092667329e552c2b6b99882,2,中标次数少
250,c8bf02e3dde3a87c7b8a5367f1af0968,4,中标次数少
251,15e4ee5719cbaa3bba6f772de3e1cd11,1,中标次数少
252,62d44bc4c8a45e23624a221cf1b21942,3,中标次数少
253,fb06c927de46874c2c0cce2d3a0e79d4,7,中标次数中等
254,3cc514f3d10246a9e0b9bbcffbfca264,2,中标次数少
255,fa555c098d6a6b0d12594324f66e6af2,1,中标次数少
256,a7b230ebe93069e85930296c39d7611a,8,中标次数中等
257,72d017c889d077fdf5f6fb08ff34c5fa,10,中标次数中等
258,63515a1e44ede7286da950eb675458c5,1,中标次数少
259,3892c316373452ee7849d26827bd2a42,3,中标次数少
260,9fc537e2154eeddd42304481be191e87,1,中标次数少
261,b4366b0ab6d0c49f123e9127e5b4193c,1,中标次数少
262,389fbbc108774f02755eabcde450c295,1,中标次数少
263,782dbbd38d8445492f9828f94122a707,1,中标次数少
264,71c046076e10850b548ea273c8dbcf14,1,中标次数少
265,acdcffdd366587baf6b16c69c59245de,1,中标次数少
266,11f9dd680ad8946ce124caad2fcf80a8,1,中标次数少
267,9cc1bf374e2416b1d087ffc7428952f3,4,中标次数少
268,e0c1f710add32bd0763a094d306f92e3,6,中标次数中等
269,692dae1cfb16bfaee4a6cfa28f684e6f,2,中标次数少
270,ceb45f737de661bca04cb378689dba4b,1,中标次数少
271,0f7fa44257457e4c372db5cad337f0f9,1,中标次数少
272,5f2cbe18cab9cbb41ba2a7a3ad02e4ac,1,中标次数少
273,ca8011c799c01ab41210e3c7fcce21b5,6,中标次数中等
274,1d3bd04d9ea6e5157408d5ea92083c85,1,中标次数少
275,40ceccb42db8bf3db368c6506caf2906,2,中标次数少
276,782ecb2e8696ee92a318ddc89a4efd42,1,中标次数少
277,fe767e4dbe5586fe12741808355349c7,4,中标次数少
278,de47bc0b736763285a402a8abdfc1030,2,中标次数少
279,0c4350eeac8f02454127dee204dd33c0,1,中标次数少
280,ad355ee7036cded6b543fe6e83bf302c,1,中标次数少
281,20228a5a61f0bc966c6251534bc10b0a,2,中标次数少
282,0057a8147431b3ee76fcd582fb2f8258,1,中标次数少
283,9175c821399435cdd7fda4d9b89fcef9,1,中标次数少
284,3afd6ddbe93165908e895f266d6c540a,6,中标次数中等
285,d5a44189b2e3eadfa4702eece3cfbbce,1,中标次数少
286,0508d6052c1d7727f085f1bea4bdcb44,4,中标次数少
287,074e9defee0984a3fcc4a3e557cd52fd,1,中标次数少
288,56f1c92c2c24a5cf44a8ae4b9089249a,1,中标次数少
289,f12da9ff2e309a0cb8da613121b0664a,3,中标次数少
290,aad95a7ee5ffbcbe0dfe3a9a74568b90,1,中标次数少
291,1bcf98c308eb4b2c0206b1cf1440ad5f,6,中标次数中等
292,22111d04fe89abd641fe056f6b60ff9b,1,中标次数少
293,8d7fb8e28f0590e953bd0f1e626f3d17,4,中标次数少
294,608597dc32a0564758f0af79a9f74fba,1,中标次数少
295,4bc070105c43984a8242eb09a922a6ab,1,中标次数少
296,4fd8eab6c40f28ccdc79d19d2ab97e91,2,中标次数少
297,5d22c10904d58c6b1e92a928fbac2217,1,中标次数少
298,1e0a851c0fe119f53d5088eb36aa48e3,1,中标次数少
299,97946125a34d0cc065b2dc8a5ba60851,2,中标次数少
300,220aa08f3df350ff7ba5053200169493,4,中标次数少
301,d0aa30bce6d928574eef7ffea526c297,2,中标次数少
302,c372719dbf351016ed3106eba92c3608,4,中标次数少
303,8fb0498ab293b96da34bfaa4be14ef31,3,中标次数少
304,c8ac5d40add1a867b7da376c14e6ae6a,1,中标次数少
305,6b357332d2dab81e3917803dff8e2c11,2,中标次数少
306,3af53ea17b7ab768cd3452f67d4f23a9,1,中标次数少
307,283fef91bc9aab193749efc602b5dcfa,2,中标次数少
308,d74fdcee24c70b0a670249364c5c1021,4,中标次数少
309,dc54b35afe801ff26a385f84518ba006,4,中标次数少
310,94828e6bf43bca5fcaf6ce4b5031845e,1,中标次数少
311,5dc66d70463196309e9235ce9eb5a0dc,3,中标次数少
312,1d648f30200a428e01ab618c50c75c6b,2,中标次数少
313,d72a098b1c00ff79f356e683c1c28586,1,中标次数少
314,97faa42ff6d52a52a5a2f9232115c479,3,中标次数少
315,8a2ef0873824bf10c84cec55e1e173e9,1,中标次数少
316,e2681322134388425a17a4fa099cb6a6,2,中标次数少
317,c1e78a8b4ee525f6ded3f451c6e326e8,1,中标次数少
318,cb8948abc14cc5b11fefeeb6a9c5a19f,1,中标次数少
319,34f08bfa8f95fe7fe68a3f6d17e4813a,1,中标次数少
320,fcdea9df2be8949d05e43df4bcd413ce,1,中标次数少
321,54f0b4899f682346243f3c7b686df0fb,1,中标次数少
322,51fbfcff90d21a7ad0d724c8889bdb18,1,中标次数少
323,dd9338523d66fcc713970506b98e78d7,7,中标次数中等
324,d60367a92e5417e721c7fad6987bc941,1,中标次数少
325,03353316952a06da97825c5e31802884,1,中标次数少
326,f2d085712023c1f46befad90f2880dac,3,中标次数少
327,a73210073f33d507014687a567cdc265,1,中标次数少
328,302ece71c57d6a397c8e86ded63000e4,1,中标次数少
329,e5fe2cf65c7730b0a95cdc05f339ac90,2,中标次数少
330,c6d9ba9cda7bfe73140ea456675b87b6,2,中标次数少
331,fb530e82d0c39bef83bde9aa4baa15c0,3,中标次数少
332,46187f006c9342f16069fc5946ad5008,2,中标次数少
333,681c69633c14b07909f0add06eeea1dc,3,中标次数少
334,ec4d55e73bb1d56018271114f4112455,2,中标次数少
335,cf397bab4bdcdcc5781927456e0843e0,3,中标次数少
336,1e76d14467172a93a8f0387bfdfec573,1,中标次数少
337,3c7e4917d70dd8e4c1526c601ea4b0ac,1,中标次数少
338,332b7a1e573cd75f19c305a35074281c,3,中标次数少
339,47af16a76ef9c12713576e04a5be11e4,1,中标次数少
340,b5c3f9223f05ab7837ca4be3e260d326,1,中标次数少
341,69642c47642f2a989f9bf0d85faa6579,1,中标次数少
342,84c22073fdb1733237f2a4568acc66d5,6,中标次数中等
343,469f616a4a6c9635ed24e349dffa1d94,2,中标次数少
344,e7b9934c502ae6484236b2e0413af556,1,中标次数少
345,523fa5c6dce9afa847d4cf2d35b4590c,2,中标次数少
346,ff1fc6e24883bdf5d782429edf73fb37,4,中标次数少
347,02dac78f708c3350d657df556a473de8,6,中标次数中等
348,8e4e6c73cb76520e0d50ca475ea3e017,1,中标次数少
349,1685bb21763dd7fc35f7d75026fc3585,1,中标次数少
350,c10fffd94737a1ecb8d454f14fcfa25d,1,中标次数少
351,d1ab7544892fc3ec1b12f27111f16370,3,中标次数少
352,c6b42ca028323849867e849eb4340278,4,中标次数少
353,f1aa140889a4afb18a969f62b7d5d06f,2,中标次数少
354,d283d1830f76b4899b6b33c109e949e3,1,中标次数少
355,1ed4de9a9d54119b715acb2fe83a088a,4,中标次数少
356,c167e8ff6cb7b80c7777d8cb70241f67,1,中标次数少
357,a430e3ecf6a708c31a2df7c7b30d280e,1,中标次数少
358,2c88cdcef65f47414f81da5fa3714b69,3,中标次数少
359,81050bad36cf44f99c7d1763cdc2499b,1,中标次数少
360,6acdfb558180d6269689ffde58655ee8,1,中标次数少
361,155c17ca822a0d00681aea581c1c60f1,1,中标次数少
362,623b6251eae4efcde06679a0a33a2188,9,中标次数中等
363,a1bd1fc7433eb420c7185c9b12466840,1,中标次数少
364,d4c6fb9ba27791d82b3739015e33c98c,1,中标次数少
365,7ce3dee2ed6baeb460a80f6c9d24fb48,1,中标次数少
366,231e4ecb67f2bcf7cac707c0732467c5,2,中标次数少
367,331bf06ca3b52804f4a492361021b8e3,2,中标次数少
368,99c9e3a97ed88bdcbe73a493c1a8741c,2,中标次数少
369,d60457eb5a57fe04c54e3f7904006bba,1,中标次数少
370,c67a9a066bf3168f750b820fb0afb4a5,5,中标次数中等
371,1f3e5119280d308b4de0a6e944ee3184,1,中标次数少
372,e5e91454e1d9dc062a414c62339c5a99,3,中标次数少
373,e23987d819043d7b64f2a04acf52c854,1,中标次数少
374,25fdc6e19ba1a954332a8b7ca4bf7f58,1,中标次数少
375,da09bd8c33d184993518093e630f48f8,1,中标次数少
376,3a9040921283a90752fd07bf698eceef,1,中标次数少
377,7eb035ef3c784b830cf2878454e3e4db,1,中标次数少
378,3f4ecc178589f39e6dd8f15a2cda8eff,1,中标次数少
379,bc39e701c8c434da8bbe60487c2eccd4,1,中标次数少
380,170d0c4a9a0d64d727e43105eaeef9b7,4,中标次数少
381,a1c50e8c392fe081578cc1e6b34679a7,2,中标次数少
382,d4220399e6895bbc7655aa63deb822b8,1,中标次数少
383,4e186d74a1398edf1851fd7e3ce6b80c,1,中标次数少
384,4384f01e20bcb3cd9853375f5b53c69c,2,中标次数少
385,3afb4a0ac415397d2058f081a28e4503,1,中标次数少
386,48252783f77df301f4ef6d203e3e8b7f,1,中标次数少
387,c335332710c9a729bfed34cb4acfeb98,24,中标次数多
388,2b0ef69494a14d8e3224a48ba5e98237,6,中标次数中等
389,3c547b2f8e3a99672fa490ca5150724d,11,中标次数中等
390,adc97b0b17449f47f2e8153dd87906f1,1,中标次数少
391,757df8a6ec916fb83a5a24a8449f6807,1,中标次数少
392,4853be6405ee6b5581f7ac4e3f364638,2,中标次数少
393,a79d760c7edc578bec4555a176e6525e,1,中标次数少
394,c4b3bc7e24986b239ea984896f716faf,3,中标次数少
395,89bc1ffa6dbbf90cf119a7d3ca01264f,3,中标次数少
396,d18a21c7f30b5912f1c3e55d8721eba0,2,中标次数少
397,102782ce0eaa091a519b49120b43ddda,5,中标次数中等
398,c0bf4778dc780f6df489d23cbca56536,1,中标次数少
399,27b4e81635a185c0a293355f923e1fd4,1,中标次数少
400,739f2a63a2dee0796a850c80e904e171,1,中标次数少
401,18c787e4387a388d671bc30a4834044d,2,中标次数少
402,a71ae9ac3a8d2df63cb4a98ec2476e54,3,中标次数少
403,83f7d705ce00db20477de71c1cbf93a7,3,中标次数少
404,4fcb250e200307b3e583b6508751c3c8,2,中标次数少
405,31b118eba0f8e8f7afc35fff8a4fd7e5,2,中标次数少
406,a9facad8ea57a73cd48f24c2ff104ad5,4,中标次数少
407,f2fae80e968afe0b5a7d0f85b86eaad4,2,中标次数少
408,9536f5df51c72a57768138382163fd96,1,中标次数少
409,d762509d26b07729fe661469a625c832,1,中标次数少
410,a2a410cf467e5317aa6cc45b379b983e,1,中标次数少
411,dbfe864ae5bf19106bc5557cf734c082,6,中标次数中等
412,bfb84dcd8a02aed9ec4ae075b2d8a792,1,中标次数少
413,7f1e6669b30f35daafd63d74d0b8a4b0,1,中标次数少
414,03383bec3a8b6fd2e8e5a0da5f0ebb0e,1,中标次数少
415,c29acd0fa946f64cd954735416b3be0e,1,中标次数少
416,93f97b9901e782505eba387acad2ee5d,2,中标次数少
417,013f0b4b13c5ed3f91ffbc94f688f169,5,中标次数中等
418,2755834fb5c1824446da785d3acf5501,1,中标次数少
419,191d7cb68a087f85ae5247264da0fc79,5,中标次数中等
420,73897c60143d16c4513b24935e4a89cb,1,中标次数少
421,069189640ce8203f97c4b72af9d9e6c2,2,中标次数少
422,4197cd344680eba56ef1fb439220432a,1,中标次数少
423,8136a86bf6c763ba68e61b2b2c84fcee,1,中标次数少
424,add6d3b65e0695ef98897e31c95939e9,1,中标次数少
425,8f017a79e80e6e3e9fa841676f84ea42,1,中标次数少
426,59f12f08813e629b6beacf7a9462e69e,2,中标次数少
427,e49d06098b6c659520842d5a1ab81aa6,1,中标次数少
428,5a27d242d2712342ba3cf43c5b363753,1,中标次数少
429,7f3db0bbc0c3d7f655f85e9096c189b5,1,中标次数少
430,dbc4e79b1b54986c3476332e4a1a7859,1,中标次数少
431,52825dc7bfa5137d6ecacd884312578e,3,中标次数少
432,6ab6b4357b837222b55963a75fdcb847,12,中标次数中等
433,1abcaca280fc5434274eb2bc72f11d7d,1,中标次数少
